ID	title	author	date	folio	notes	work_code	work_title	osa
2	Abrégé chronologique de l'histoire universelle	"Coffin, abbé"	1700-00-00	1r	Source data entitled: 'Abrégé chronologique de l'histoire universelle par M. l'abbé Coffin'. Work and author not identified. Author's name may be pseudonym.	zspbk0011913	Analyse chronologique de l'histoire universelle depuis le commencement du monde	0.82
14	"Abrege de la Sainte Bible, en forme de questions, et de reponses familieres"	"Guerard, Robert"	1707-00-00	1V	"Source data entitled: 'Abrege de la Ste Bible'. First edition in Paris, edited by M. David l'aine?, 1706. Following editions entitled: 'Abre?ge? de la Sainte Bible en forme de questions'."	zspbk0012097	"Abrégé de la Sainte Bible, en forme de questions et de réponses familières"	0.92
43	Argumens et réflexions sur les livres et sur les chapitres de la Sainte Bible	"Ostervald, Jean-Frédéric;"		2v	Date in source data ambiguous (between 1719 and 1729). Source data entitled:  'Arguments et Reflexions sur les chapitres de la Ste Bible'.	spbk0003371	Argumens et réflexions sur les livres et sur les chapitres de la Sainte Bible	1
83	"Traite? de la Paresse, ou l'Art de bien employer le temps"		1737-00-00	3v	"Source data entitled: 'Art (l') de bien employer le temps'. First edition 1674, published in Amsterdam by A. Wolfgang. Subsequent edition published in Paris: Josse Et Delespine, 1743."	zspbk0013895	"Traité de la paresse, ou, l'art de bien employer le temps"	0.9
88	Airs serieux et a boire		1739-00-00	3v	"Several works entitled 'Airs serieux et a boire', by various authors, throughout the 18th century. Work and author cannot be identified."	zspbk0013380	Airs se?rieux et a? boire	0.92
90	Amitie (l') apres la Mort	"Singer Rowe, Elizabeth"	1740-00-00	3v	Published in Amsterdam: Aux Depens de la Compagnie in 1740. Subsequent editions in 1750 and 1753.	spbk0000073	Amitié (l') après la mort	0.88
113	"Aventures de Don Antonio de Riga, comte de St Vincent"			4r	"Date ambiguous (1750-). Author not identified. Source data entitled: 'Aventures de Dom Antonio de Riga', published in Amsterdam: Chez Maynard Uytwerf, in 1744."	zspbk0011978	"Avantures de Don Antonio de Riga, comte de Saint Vincent"	0.86
123	Antiquite (l') devoilee		1750-00-00	4r	"Date ambiguous. Source data entitled: 'Antiquite devoilee (l')'. Work possibly identified as: 'Antiquite (l') devoilee par ses usages, ou examen critique des principales opinions, ceremonies et institutions religieuses et politiques des differents peuples de la terre', first edition published in Amsterdam: M. M. Rey, 1766. Other contributor: Holbach, Paul Henri Dietrich, baron d'."	spbk0002617	Antiquité (l') dévoilée	0.869565217
131	Alcoran des Cordeliers	"Alberus, Erasmus"		4v	"Date ambiguous (1750-). First edition identified was published in Gene?ve: Conrad Badius, 1556. Latest edition found is 1734 and entitled: 'L'Alcoran des Cordeliers, tant en Latin qu'en Franc?ois, c'est a? dire, Receuil des plus notables bourdes et blasphemes de ceux qui ont ose? comparer S. Franc?ois a? Jesus Christ. Tire? du Livre des Conformites jadis compose? par Barthelemi de Pise', published in Amsterdam : Aux de?pens de la Compagnie."	spbk0000043	Alcoran (l') des Cordeliers	0.814814815
149	anarchie (l') médicinale	"Gilibert, Jean-Emmanuel;"		5r	"Date ambiguous (1750-). Source data entitled: 'Anarchie (l') medicale'. First published in Neuchatel, (1772)."	spbk0000094	Anarchie (l') médicinale	0.958333333
150	"Angola, histoire Indienne"	"Rochette La Morlie?re, Jacques, chevalier de"		5r	"Date ambiguous (1750-). Source data entitled: 'Angola par le Chevalier de la Morliere'. First edition published in 1746, unknown publication place."	spbk0000105	"Angola, histoire indienne"	0.96
158	Babillard (le)		1708-00-00	7r	"Date ambiguous. Work and author not identified: but potential translation of Tatler. Not to be confounded with  'Le Babillard, comédie en un acte ' by Louis de Boissy, published in 1725."	spbk0000183	Babillard (le)	1
158	Babillard (le)		1708-00-00	7r	"Date ambiguous. Work and author not identified: but potential translation of Tatler. Not to be confounded with  'Le Babillard, comédie en un acte ' by Louis de Boissy, published in 1725."	zspbk0013023	Babillard (le)	1
166	Belisaire	"Marmontel, Jean-François;"		7r	Date ambiguous (1745-). Source data entitled: 'Belisaire par Marmontel'.	spbk0000198	Belisaire	1
167	Bijoux (les) indiscrets	"Diderot, Denis;"		7r	Date ambiguous (1745-). Source data entitled: 'Les bijoux indiscrets par M. Diderot'.	spbk0000220	Bijoux (les) indiscrets	1
168	Balai (le)			7r	"Source data entitled: 'Balay (le) par l'abbe laurence'. Date ambiguous (1745-). Potential match: 'Le balai, ou, La bataille des nonnes : poe?me he?roi?-comique en XVIII chants' written by Henri-Joseph du Laurens, abbe, published in Constantinople: 'de l'imprimerie du mouphti', 1761."	spbk0000190	Balai (le)	1
195	Consolations (les) de l'Ame fidele contre les frayeurs de la mort	"Drelincourt, Charles"	1711-00-00	8v	Multiple editions of 'Les consolations de l'a?me fide?le contre les frayeurs de la mort. Avec les dispositions	spbk0002943	Consolations (les) de l'âme fidèle contre les frayeurs de la mort	0.96
251	Contemplation de la nature	"Bonnet, Charles;"		9v	"Date ambiguous (1750-). Lausanne: J. P. Heubach, 1770."	spbk0000402	Contemplation de la nature	1
253	Christianisme (le) dévoilé	"Holbach, Paul Henri Dietrich [d'];"		10r	Date ambiguous (1750-). Source data entitled: 'Christianisme (le) dévoilé par M. Boulanger'. Probable pseudonym. First publication in 1766.	spbk0000324	Christianisme (le) dévoilé	1
254	Contes de Guillaume Vadé	Voltaire		10r	"Date ambiguous (1750). Source data entitled: 'Contes de Vade'. Author pseudonym is probably for Voltaire. First publication in Geneva: Cramer (?), in 1764."	zspbk0010894	Contes de Guillaume Vadé	1
255	Candide	"Voltaire, François Marie Arouet;"		10r	Date ambiguous (1750-). Source data entitled: 'Candide ou l'Optimisme'.	spbk0000262	Candide	1
257	Colporteur (le)	"Chevrier, François-Antoine;"		10r	"Date ambiguous (1750-). Published in London: Jean Nourse, [1762?]."	spbk0000354	Colporteur (le)	1
258	Choses (les) utiles et agreables	"Voltaire, François Marie Arouet;"		10r	"Date ambiguous (1750-). Published in Berlin (Geneve?): Cramer, 1769-1770."	spbk0000323	Choses (les) utiles et agreable	0.96875
267	Catéchisme de morale			10r	"Date ambiguous (1750-). Two possible title matches: by Stephanie Felicite comtesse de Genlis, published in  Bruxelles and Paris: Chez Lambert and Baudouin, 1783-1785; or by Constant de Rebecque, published in Bruxelles ; Paris, 1783."	spbk0000282	Catéchisme de morale	1
268	Consolations raisonnables et religieuses	"Formey, Jean Henri Samuel;"		10r	"Date ambiguous (1750-). Published in A Yverdon: publisher not identified, in 1768."	spbk0002735	Consolations raisonnables et religieuses	1
269	Etrennes aux gens d'église ou la Chandelle d'Arras	"Du Laurens, Henri-Joseph;"		10r	Date ambiguous (1750-). Source data entitled: 'Chandelle (la) d'Arras par L'abbe Laurence'. First edition 1765.	spbk0002941	Etrennes aux gens d'église ou la chandelle d'Arras	0.98
279	Constitution de l'Angleterre	"Lolme, Jean Louis de;"		10v	"Date ambiguous (1750-). Source data entitled: 'Constitutions de l'Angleterre'. Published in Amsterdam: Chez E. Van Harrevelt, 1778."	spbk0000398	Constitution de l'Angleterre	1
281	Correspondance secrete et familiere de M. de Maupeou avec M. de Sor***	"Pidansat de Mairobert, Mathieu-Francois"		10v	"Date ambiguous (1750-). Source data entitled: 'Correspondance secrete et familiere entre M. de M*** et M. de S***'. First published in 1771, Place of publication and publisher not identified."	spbk0004593	Correspondance secrete et familiere de M. de Maupeou avec M. de Sor***	1
282	Confessions (les) du Comte de ***	"Pinot Duclos, Charles"		10v	"Date ambiguous (1750-). Source data entitled: 'Confessions de M. D** par M. Duclos'. First edition published in 1742, Amsterdam : Chareau et Du Villard."	zspbk0013335	Confessions du Comte de ***	0.818181818
285	Dissertation historique et critique sur le martyre de la religion chretienne			12r	Source data entitled: 'Dissertation historique et critique sur le martire de la religion chretienne'. Date ambiguous (between 1696 and 1700). Work and author not identified.	spbk0002885	"Dissertation historique et critique sur le gouvernement de Geneve, et ses revolutions"	0.88
328	Amours (les) de Daphnis et Chloé	"Longus; Mulot, François-Valentin;"		13r	"Date ambiguous (1729-1733). Source data entitled: 'Daphnis et Cloe'. Several editions, closest edition match: published in Amsterdam, 1734."	spbk0000079	Amours (les) de Daphnis et Chloé	1
333	Dissertation sur la taille			13r	Date ambiguous (1729-1733). Work and author not identified.	spbk0004339	Dissertation sur le tabac	0.807692308
333	Dissertation sur la taille			13r	Date ambiguous (1729-1733). Work and author not identified.	zspbk0013403	Dissertation sur la goutte	0.807692308
334	Dictionnaire neologique a l'usage des beaux-esprits du siécle	"Guyot Desfontaines, Pierre-Francois"		13r	"Date ambiguous (1729-1733). Source data entitled: 'Dictionnaire neologique avec l'avis de l'incomparable Pantalon Phoebus'. Published in Amsterdam : Chez Michel-Charles Le Cene, 1731. First edition 1726."	zspbk0012847	Dictionnaire neologique a l'usage des beaux-esprits du siécle	1
371	Sur la Destruction des jesuites en France: par un auteur desinteressé	No Author Identifable		14r	Date ambiguous (1747-). Work and author not identified.	zspbk0010644	"Sur la destruction des Jesuites en France: par un auteur desinteressé: Incorruptam fidem professis, nec amore quisquam,"	0.96
377	Discours de l'empereur Julien	"Argens, Jean-Baptiste de Boyer [marquis d']; Voltaire, François Marie Arouet; Julian"		14v	"Source data entitled: 'Discours de l'empereur Julien contre les chretiens'. Source date ambiguous (1749-). First published in Berlin : Chre?tien Fre?de?ric Voss, 1768."	spbk0000575	Discours de l'empereur Julien	1
378	Dieu et les hommes	"Voltaire, François Marie Arouet;"		14v	"Source data entitled: 'Dieu et les hommes du docteur Oberu'. Source date ambiguous (1749-). Published in Berlin, [i.e. Geneva] : Chez Christian de Vos., 1769."	spbk0000569	Dieu et les hommes	1
379	Recherches philosophiques sur les Américains	"Pauw, Cornelius [de]"		14v	"Source date ambiguous (1749-). Source data entitled: 'Dissertation philosophique sur les americains'. Published in Berlin, 1770. Other contributor: Antoine Joseph Pernety. https://books.google.com.au/books?id=hKtbAAAAQAAJ"	spbk0002803	Recherches philosophiques sur les Américains	1
380	Histoire de Dom B… portier des Chartreux	"Latouche, Jean-Charles Gervaise [de];"		14v	"Source date ambiguous (1749-). First published in Rome [i.e. London] : Chez Philotanus, [1740?]. OCLC: 931404253."	spbk0004439	Histoire de Dom B… portier des Chartreux	1
381	Dictionnaire philosophique	"Voltaire, François Marie Arouet;"		14v	"Source date ambiguous (1749-). Source data entitled: 'Dictionnaire philosophique de Voltaire'. First published in Lyon, 1756."	spbk0003312	Dictionnaire philosophique	1
382	Discours sur la liberté de penser	"Collins, Anthony; Scheurléer, Henri; Rousset de Missy, Jean;"		14v	"Source data entitled: 'Discours sur la liberté de penser par Mr Collins'. Source date ambiguous (1749-). First published in  London, 1714."	spbk0000592	Discours sur la liberté de penser	1
385	Dialogue des Animaux ou le Bonheur	No Author Identifable		14v	"Date ambiguous (1749-). No author identified, possible original author: Giambattista Gelli. Published in 1762-3, unknown publication place."	zspbk0011068	Dialogue des Animaux ou le Bonheur	1
386	Recherches sur l'origine du Despotisme oriental	"Boulanger, Nicolas-Antoine; Holbach, Paul Henri Dietrich [d'];"		14v	Date ambiguous (1749-). Source data entitled: 'Despotisme (le) oriental'. Edition not identified: several editions between 1762 and 1778.	spbk0002037	Recherches sur l'origine du despotisme oriental	0.978723404
387	dictionnaire philosophique	"Voltaire, François Marie Arouet;"		14v	Source date ambiguous (1749-). Source data entitled: 'Dictionnaire philosophique portatif'. Probable edition dates for source data: 1756; 1765.	spbk0003312	Dictionnaire philosophique	0.961538462
402	Dieu. Reponse de M. Voltaire au systeme de la nature	"Voltaire, Francois Marie Arouet"		15r	"Source date ambiguous (1749-). Source data entitled: 'Dieu Reponse de M. De Voltaire au sisteme de la nature'. Published in Gene?ve: Cramer, 1770."	spbk0002623	Dieu. Réponse de M. de Voltaire au systême de la nature	0.84
414	"Droit (le) naturel, d'un père à son fils"	"Pillichody, Jean Georges;"		15r	"Source date ambiguous (1749-). Published in Yverdon: F.-B. de Felice, 1769."	spbk0000625	"Droit (le) naturel, d'un père à son fils"	1
420	Entretiens des voyageurs sur la Mer	"Flournois, Gedeon"		16r	"Date ambiguous (1700-1701). First published in Cologne, P. Marteau, 1683. At least two subsequent editions in 1704 and 1715."	zspbk0011211	Entretiens des voyageurs sur la Mer	1
