id_1	title_1	category_1	notes_1	author_1	imprint_1	id_2	title_2	category_2	notes_2	author_2	imprint_2	osa	identical?
2	"Preface de l'histoire de Louis XVI, ou Histoire veridique des dernieres annees de Louis XV"	F1	Not in Darnton's Corpus.		"Cosmopolis, 1776."	1	"Preface de l'histoire de Louis XVI, ou Histoire veridique des dernieres annees de Louis XV"	F1			"Cosmopolis, 1776. Not in Darnton's Corpus."	1	
9	La Vie de Voltaire	F8	Not in Darnton's corpus. same edition as previously but different format (instead of in-8° it is in-4°)	"Duvernet, T.I."	Published in Geneve.	8	La Vie de Voltaire	F7	"Not in Darnton's corpus. Poinçot specifies that there is also 'deux paquets imparfaits qui pourroient en produire cent', on top of the 200 copies."	"Duvernet, T.I."	Published in Geneve.	1	
18	"Eloge et pensees de Pascal, nouvelle edition commentee et corrigee"	F16	Not in Darnton's corpus.	"Condorcet, Nicolas, marquis de"	Paris	17	"Eloge et pensees de Pascal, nouvelle edition commentee et corrigee"	F16	"Not in Darnton's corpus. This edition is in-8°, edited by Voltaire."	"Condorcet, Nicolas, marquis de"	Paris	1	
36	L'Aretin moderne	F34	in-12°	"Du Laurens, Henri Joseph"	Published in Rome.	35	L'Aretin moderne	F33	in-12°	"Du Laurens, Henri Joseph"	Published in Rome.	1	
54	"Le Nouveau Secretaire de la cour, ou Lettres familieres"	F48	in-8°. Not a banned book.	"Milleran, Rene"	"2 possible editions: Paris, Compagnie des Libraires Associe?s, 1776; or Lyon : chez Faucheux, 1780."	53	"Le Nouveau Secretaire de la cour, ou Lettres familieres"	F48	in-8°. Not a banned book.	"Milleran, Rene"	"2 possible editions: Paris, Compagnie des Libraires Associe?s, 1776; or Lyon : chez Faucheux, 1780."	1	
61	"La Foutromanie, poeme lubrique"	F55	In -8°. Same as F54.	"Se?nac de Meilhan, Gabriel, [de]"	Sardonopolis (probably London).	60	"La Foutromanie, poeme lubrique"	F54	In -8°. Also attributed to Claude-Franc?ois-Xavier Mercier de Compie?gne.	"Se?nac de Meilhan, Gabriel, [de]"	Sardonopolis (probably London).	1	
101	L'Espion anglois	F95		"Pidansat de Mairobert, Mathieu Franc?ois"	London. Various volumes. Nb of copies not available.	100	L'Espion anglois	F94		"Pidansat de Mairobert, Mathieu Franc?ois"	London.	1	
110	"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779"	F103	Not in Darnton's corpus. in-8°.	"Raoux, Adrien Philippe"	Amsterdam	109	"Reflexions politiques, generales et particulieres sur la guerre d'Allemagne en 1778 et sur la paix conclue a Teschen le 13 mai 1779"	F103	Not in Darnton's corpus. in-8°.	"Raoux, Adrien Philippe"	Amsterdam	1	
115	Histoire de la derniere revolution de Suede contenant le recit de ce qui s'est passe dans les trois dernieres diettes et un precis de l'histoire de Suede	F107	Not in Darnton's corpus. in-8°.	"Sheridan, Charles Francis"	London. Trans. by Bruyset.	114	Histoire de la derniere revolution de Suede contenant le recit de ce qui s'est passe dans les trois dernieres diettes et un precis de l'histoire de Suede	F108	Not in Darnton's corpus. in-8°.	"Sheridan, Charles Francis"	London. Trans. by Bruyset.	1	
126	"Les Saisons, poeme"	F118	Not a banned book.		Amsterdam.  in-12°. Authors may be James Thomson (trans. by Bontemps) or Jean Francois marquis de Saint Lambert.	125	"Les Saisons, poeme"	F119	Not a banned book.		Amsterdam.  in-12°. Authors may be James Thomson (trans. by Bontemps) or Jean Francois marquis de Saint Lambert.	1	
