stn_abbreviated_title,edition,number_of_volumes,author_name,copies_ordered,date,full_book_title,darnton_record_id,client_name,client_code,total_number_of_volumes
Abrégé de l'histoire ancienne,8,5,"Jacques Tailhié, abbé (vers 1700-1778)",2,1775-05-29,Abrégé de l'histoire ancienne de Monsieur Rollin,1,Charmet,cl0274,10
Abrégé de l'histoire de la maçonnerie,12,NA,Joseph-Jérôme Le François de Lalande (1732-1807),6,1778-11-20,"Abrégé de l'histoire de la franche-maçonnerie, précédée et suivie de quelques pieces en vers et en prose, et d'anecdotes qui la concerne [sic]; d'un Essai sur les mystères et le véritable objet de la Confrérie des francs-maçons, auquel on a joint un recueil complet des chansons dont ils font usage... Rédigé par un membre de cet ordre",2,Charmet,cl0274,NA
Académie des jeux,NA,3,NA,1,1788-05-07,"Academie universelle, des jeux, contenant les regles des jeux de quadrille, & quintille, de l'hombre à trois, du piquet, du reversis, des echecs, du tric-trac; & de tous les autres jeux. Avec des instructions faciles pour apprendre à les bien jouer",3,Charmet,cl0274,3
Adèle de Mme de Genlis,8,3,"Caroline du Crest, Comtesse de Genlis",13,1782-03-20,"Adèle et Théodore, ou Lettres sur l'éducation",4,Charmet,cl0274,39
Adèle et Théodore,NA,NA,"Caroline du Crest, Comtesse de Genlis",13,1782-04-17,"Adèle et Théodore, ou Lettres sur l'éducation",5,Charmet,cl0274,NA
Adoption dans la maçonnerie,NA,NA,Guillemain de Saint-Victor (attribué par Weller à),6,1775-09-30,"Adoption (L'), ou la Maçonnerie des femmes: en trois grades",6,Charmet,cl0274,NA
Maçonnerie des dames,8,NA,NA,12,1778-11-20,"Adoption (L'), ou la Maçonnerie des femmes: en trois grades",7,Charmet,cl0274,NA
Alcoran des cordeliers,12,2,Erasmus Alberus (vers 1500-1553),1,1774-07-13,"Alcoran des cordeliers. Tant en latin qu'en français. C'est-à-dire, recueil des plus notables bourdes et blasphèmes de ceux qui ont osé comparer Saint Françoi à Jésus Christ: tiré du grand livre des Conformités, jadis composé par frère Barthélémy de Pise, cordelier en son vivant",8,Charmet,cl0274,2
Amants républicains,8,2,Jean-Pierre Bérenger,12,NA,"Amants républicains (Les), ou Lettres de Nicias et Cynire",9,Charmet,cl0274,24
Amis de la vertu,NA,NA,"Charles de Fieux, chevalier de Mouhy",2,1785-06-01,"Ami (L') de la vertu, ou Mémoires et aventures de Monsieur d'Argicourt",10,Charmet,cl0274,NA
Amitié fraternelle (L'),NA,NA,NA,2,1788-05-07,Amitié fraternelle (L') ou le Triomphe des vertus,11,Charmet,cl0274,NA
An 2440,NA,NA,Louis-Sébastien Mercier,6,1771-12-25,An (L') deux mille quatre cent quarante : rêve s'il en fût jamais,12,Charmet,cl0274,NA
An 2440,NA,NA,Louis-Sébastien Mercier,6,1781-05-18,An (L') deux mille quatre cent quarante : rêve s'il en fût jamais,13,Charmet,cl0274,NA
An 2440,NA,NA,Louis-Sébastien Mercier,6,1783-09-03,An (L') deux mille quatre cent quarante : rêve s'il en fût jamais,14,Charmet,cl0274,NA
Analyse de Bayle,12,8,"François-Marie, abbé de Mansy",6,1775-05-17,"Analyse raisonnée de Bayle, ou Analyse méthodique de ses ouvrages, particulièrement de son Dictionnaire",15,Charmet,cl0274,48
Âne promeneur (L'),NA,NA,Antoine-Joseph Gorsas,2,1788-05-07,"Âne (L') promeneur, ou Critès promené par son âne; chef-d'œuvre pour servir d'apologie au goût, aux mœurs, à l'esprit, et aux découvertes du siècle, première edition revue, corrigée, et précédée d'une préface à la mosaïque, dans le plus nouveau goût…",16,Charmet,cl0274,NA
Anecdotes intéressantes du comte de Falkenstein par Coudray avec portrait,8,NA,Alexandre Jacques du Coudray,25,1777-08-20,"Anecdotes intéressantes et historiques de l'illustre voyageur (Joseph II), pendant son séjour à Paris",17,Charmet,cl0274,NA
Anecdotes de du Barry,12,NA,Mathieu-François Pidansat de Mairobert (1727-1779),12,1774-11-08,Anecdotes sur M. la comtesse du Barri,18,Charmet,cl0274,NA
Anecdotes de du Barry,12,NA,Mathieu-François Pidansat de Mairobert (1727-1779),20,1776-12-27,Anecdotes sur M. la comtesse du Barri,19,Charmet,cl0274,NA
Angélique poème,NA,NA,Andrea Marone,12,NA,"Angélique, poème traduit de l'italien d'Andrea Marone",20,Charmet,cl0274,NA
Annales de la vertu,12,3,"Caroline du Crest, Comtesse de Genlis",13,1781-03-24,"Annales de la vertu, ou Cours d'histoire à l'usage des jeunes personnes",21,Charmet,cl0274,39
Annales de la vertu,NA,NA,"Caroline du Crest, Comtesse de Genlis",13,1781-05-18,"Annales de la vertu, ou Cours d'histoire à l'usage des jeunes personnes",22,Charmet,cl0274,NA
Arétin moderne,12,NA,Henri-Joseph Du Laurens,25,1774-10-16,Arétin moderne ou L'Arétin ou la Débauche de l'esprit en fait de bon sens,23,Charmet,cl0274,NA
Arétin moderne,12,NA,Henri-Joseph Du Laurens,12,1775-05-17,Arétin moderne ou L'Arétin ou la Débauche de l'esprit en fait de bon sens,24,Charmet,cl0274,NA
Atlas,2,NA,Robert de Vaugondy,1,1774-07-13,Atlas universel portatif,25,Charmet,cl0274,NA
Critique de Senez attribué à Voltaire,8,NA,François-Marie Arouet dit Voltaire,100,1774-10-07,"Au révérend père en dieu messire Jean de Beauvais, créé par le feu roi, Louis XV, évêque de Senez",26,Charmet,cl0274,NA
Aventures de Télémaque,12,NA,François de Salignac de la Mothe Fénelon (1651-1715),3,1775-05-29,Aventures (les) de Télémaque fils d'Ulysse,27,Charmet,cl0274,NA
Avis au peuple,12,2,Samuel Auguste André David Tissot,6,1778-11-20,Avis au peuple sur sa santé,28,Charmet,cl0274,12
Bagatelles morales de Coyer,12,NA,Gabriel François abbé Coyer,3,1776-12-27,Bagatelles morales,29,Charmet,cl0274,NA
Barbier de Séville,8,NA,Pierre-Augustin Carron de Beaumarchais,25,1776-12-27,"Barbier (Le) de Séville, ou la Précaution inutile",30,Charmet,cl0274,NA
"Biblia hebraica, maroquin, 1716",NA,1,Johannus Henricus Majus et G. C. Bürcklin,1,1774-07-13,Biblia hebraica,31,Charmet,cl0274,1
Bibliothèque instructive,8,NA,Jean-François de Los Rios,3,1777-03-12,"Bibliographie instructive, ou Notice de quelques livres rares, singuliers et difficiles à trouver, avec des notes historiques, pour connoître et distinguer les différentes editions, et leur valeur dans le commerce / disposée par François de Los-Rios",32,Charmet,cl0274,NA
Bibliothèque instructive,8,NA,Jean-François de Los Rios,1,1788-05-07,"Bibliographie instructive, ou Notice de quelques livres rares, singuliers et difficiles à trouver, avec des notes historiques, pour connoître et distinguer les différentes editions, et leur valeur dans le commerce / disposée par François de Los-Rios",33,Charmet,cl0274,NA
Bibliothèque physicochimique du nord,NA,3,Pierre-Rodolphe Vicat,1,1788-05-07,"Bibliothèque médico-physique du Nord, ou Recueil périodique de ce qu'il y a d'essentiel, d'intéressant et de plus nouveau sur tout, en fait d'observations et de découvertes dans les collections académiques et dans les autres ouvrages des savants du Nord, soit en médecine, chirurgie et pharmacie, en histoire naturelle et physique ou en chimie",34,Charmet,cl0274,3
Bibliothèque de Warville,NA,9,Jacques-Pierre Brissot de Warville (1754-1793),1,1785-06-01,"Bibliothèque philosophique du législateur, du politique, du jurisconsulte ou Choix des meilleurs discours, dissertations, essais, fragmens, composés sur la législation criminelle par les plus célèbres écrivains, en françois, anglois, italien, allemand, espagnol, &c. pour parvenir à la réforme des loix pénales dans tous les pays, traduits & accompagnés de notes & d'observations historiques par J.P. Brissot de Warville, auteur de la Théorie des loix criminelle",35,Charmet,cl0274,9
Bibliothèque de Warville tome 10,NA,NA,Jacques-Pierre Brissot de Warville (1754-1793),1,1785-07-17,"Bibliothèque philosophique du législateur, du politique, du jurisconsulte ou Choix des meilleurs discours, dissertations, essais, fragmens, composés sur la législation criminelle par les plus célèbres écrivains, en françois, anglois, italien, allemand, espagnol, &c. pour parvenir à la réforme des loix pénales dans tous les pays, traduits & accompagnés de notes & d'observations historiques par J.P. Brissot de Warville, auteur de la Théorie des loix criminelles",36,Charmet,cl0274,NA
Bigarures d'un citoyen de Genève avec ses conseils,NA,NA,?,6,1776-12-27,"Bigarurres (Les) d'un citoyen de Genève, et ses conseils républicains dediés aux Américains; avec quantités d'anecdotes amusantes, intéressantes et autres pour servir à terminer l'histoire des Jésuites",37,Charmet,cl0274,NA
Bon sens (le),8,NA,"Paul Henri Dietrich, baron d'Holbach (1723-1789)",12,1775-05-17,"Bon sens (Le), ou Idées naturelles opposées aux idées surnaturelles",38,Charmet,cl0274,NA
Mon bonnet de nuit,NA,NA,Louis-Sébastien Mercier,13,1783-09-03,"Bonnet (Mon) de nuit, par M. Mercier",39,Charmet,cl0274,NA
Mon bonnet de nuit,NA,NA,Louis-Sébastien Mercier,26,1783-12-28,"Bonnet (Mon) de nuit, par M. Mercier",40,Charmet,cl0274,NA
Mon bonnet de nuit,NA,NA,Louis-Sébastien Mercier,13,1784-01-02,"Bonnet (Mon) de nuit, par M. Mercier",41,Charmet,cl0274,NA
Brouette du vinaigrier,NA,NA,Louis-Sébastien Mercier,4,1785-06-01,Brouette (La) du vinaigrier: drame en trois actes,42,Charmet,cl0274,NA
Lettres de Lausanne,NA,NA,Isabelle de Charrière,3,1788-05-07,Caliste ou Lettres écrites de Lausanne : joli roman nouveau,43,Charmet,cl0274,NA
Camille ou Lettres de deux filles,NA,4,Samuel de Constant de Rebecque,4,1788-05-07,"Camille ou Lettres de deux filles de ce siècle, traduites de l'anglais sur les originaux",44,Charmet,cl0274,16
Lettre de Camille ou Histoire de deux filles,12,4,Samuel de Constant de Rebecque,3,1787-04-24,"Camille ou Lettres de deux filles de ce siècle, traduites de l'anglais sur les originaux",45,Charmet,cl0274,12
Caractères (les) par La Bruyère,8,2,Madeleine d'Arsant de Puisieux (1720-1798),1,1775-05-29,Caractères (les) par Madeleine d'Arsant de Puisieux,46,Charmet,cl0274,2
Cécilia,NA,5,Fanny Burney,6,NA,"Cécilia ou Mémoire d'une héritière, par l'auteur d'Evelina",47,Charmet,cl0274,30
Cécilia,NA,NA,Fanny Burney,3,1784-01-02,"Cécilia ou Mémoire d'une héritière, par l'auteur d'Evelina",48,Charmet,cl0274,NA
Cécilia,NA,NA,Fanny Burney,6,1784-05-12,"Cécilia ou Mémoire d'une héritière, par l'auteur d'Evelina",49,Charmet,cl0274,NA
Chandelles d'Arras,NA,NA,Henri-Joseph Du Laurens (1719-1793),6,1775-09-30,"Chandelle (La) d’Arras, poème héroï-comique en XVIII chants",50,Charmet,cl0274,NA
Un Chrétien contre 6 Juifs,NA,NA,François-Marie Arouet dit Voltaire,6,1776-12-27,Chrétien (Un) contre six Juifs,51,Charmet,cl0274,NA
Christianisme dévoilé (le),12,NA,"Paul Henri Dietrich, baron d'Holbach (1723-1789)",12,1775-05-17,"Christianisme (Le) dévoilé, ou Examen des principes et des effets de la religion chrétienne",52,Charmet,cl0274,NA
Chronique scandaleuse (la),NA,NA,Guillaume Imbert ?,13,1783-09-03,"Chronique (La) scandaleuse, ou Mémoires pour servir à l'histoire des mœurs de la génération présente",53,Charmet,cl0274,NA
Code de Genève (le),NA,NA,Etienne-Gabriel Morelly ?,13,1783-01-09,"Code de la nature, ou le véritable esprit de ses lois, de tout temps négligé ou méconnu",54,Charmet,cl0274,NA
Recueil pour ou contre Mr Necker,8,3,NA,13,1782-01-28,Collection complète de tous les ouvrages pour et contre M. Necker,55,Charmet,cl0274,39
Recueil pour ou contre Mr Necker,NA,NA,NA,6,1782-04-17,Collection complète de tous les ouvrages pour et contre M. Necker,56,Charmet,cl0274,NA
Collections de Crébillon,8,7,Claude Prosper Jolyot de Crébillon (1707-1777),12,1775-05-17,Collection complète des œuvres de Crébillon le fils,57,Charmet,cl0274,84
Collections de Crébillon,8,7,Claude Prosper Jolyot de Crébillon (1707-1777),6,1775-05-29,Collection complète des œuvres de Crébillon le fils,58,Charmet,cl0274,42
Collection de Jean-Jacques Rousseau,NA,NA,Jean-Jacques Rousseau,1,NA,Collection complète des œuvres de Jean-Jacques Rousseau,59,Charmet,cl0274,NA
Œuvres de J.-J.,12,30,Jean-Jacques Rousseau,1,1788-05-07,Collection complète des œuvres de Jean-Jacques Rousseau,60,Charmet,cl0274,30
Œuvres de Jean-Jacques Rousseau,12,25,Jean-Jacques Rousseau,3,1783-06-13,Collection complète des œuvres de Jean-Jacques Rousseau,61,Charmet,cl0274,75
Œuvres,8,9,Claude-Joseph Dorat,2,1781-03-19,Collection complète des œuvres de M. Dorat,62,Charmet,cl0274,18
Œuvres,8,5,Claude-Joseph Dorat,25,1775-08-13,Collection complète des œuvres de M. Dorat,63,Charmet,cl0274,125
Œuvres,8,5,Claude-Joseph Dorat,25,1775-09-24,Collection complète des œuvres de M. Dorat,64,Charmet,cl0274,125
Œuvres,8,5,Claude-Joseph Dorat,2,1781-05-20,Collection complète des œuvres de M. Dorat,65,Charmet,cl0274,10
"Œuvres, édition 1787",12,10,Marie Jeanne de Heurles Laboras de Mézières dite Madame Riccoboni,3,1787-04-24,"Collection complète des œuvres de Madame Riccoboni, Nouvelle édition revue et augmentée",66,Charmet,cl0274,30
