work_title,codes,illegality_notes,categorisation_notes
[Paroissien],zspbk0011520;zspbk0014003,(zspbk0011520) ; (zspbk0014003) ,(zspbk0011520) NA; (zspbk0014003) NA
Amours (les) de Mirtil,spbk00014830;zspbk0012588,(spbk00014830) 19 (1) Darnton; (zspbk0012588) ,(spbk00014830) NA; (zspbk0012588) MMF.
Babillard (le),spbk0000183;zspbk0013023,(spbk0000183) NA; (zspbk0013023) ,(spbk0000183) NA; (zspbk0013023) NA
Bibliotheca anatomica,spbk0003584;zspbk0014767,(spbk0003584) NA; (zspbk0014767) ,(spbk0003584) NA; (zspbk0014767) NA
Bibliotheca botanica,spbk0001010;zspbk0011660,(spbk0001010) NA; (zspbk0011660) ,(spbk0001010) NA; (zspbk0011660) NA
"Connoissance des poetes les plus celebres, ou Moyen facile de prendre une teinture des humanités",zspbk0012316;zspbk0012317,(zspbk0012316) ; (zspbk0012317) ,(zspbk0012316) NA; (zspbk0012317) NA
Contes moraux,spbk0000405;spbk0003798,(spbk0000405) NA; (spbk0003798) NA,(spbk0000405) NA; (spbk0003798) NA
Corps (des) politiques et de leurs gouvernements,spbk0000429;zspbk0012801,(spbk0000429) NA; (zspbk0012801) ,(spbk0000429) NA; (zspbk0012801) NA
Cours d'architecture,spbk0003068;zspbk0012871,(spbk0003068) NA; (zspbk0012871) ,(spbk0003068) NA; (zspbk0012871) NA
De haeresia janseniana,zspbk0012090;zspbk0012091,(zspbk0012090) ; (zspbk0012091) ,(zspbk0012090) Google books copy is 1728 edition but content not on line. Consulted antiquarian catalogue copy at https://www.abebooks.co.uk/servlet/BookDetailsPL?bi=16667152175; (zspbk0012091) NA
Dictionnaire des hommes illustres,spbk0000547;zspbk0012013,(spbk0000547) NA; (zspbk0012013) ,(spbk0000547) NA; (zspbk0012013) NA
Dictionnaire des origines,spbk0000548;zspbk0013528,(spbk0000548) NA; (zspbk0013528) ,(spbk0000548) NA; (zspbk0013528) NA
Dictionnaire et Oeuvres de Bayle,zspbk0013278;zspbk0014600,(zspbk0013278) ; (zspbk0014600) ,(zspbk0013278) NA; (zspbk0014600) NA
Dissertation sur les Biens Nobles avec des Observations sur le Vingtieme,zspbk0011601;zspbk0011602,(zspbk0011601) ; (zspbk0011602) ,(zspbk0011601) NA; (zspbk0011602) NA
Elevations à Dieu sur les préparations à la mort et sur quelques autres sujets de piété,zspbk0011445;zspbk0011446,(zspbk0011445) ; (zspbk0011446) ,(zspbk0011445) NA; (zspbk0011446) NA
Eloge de Henri IV,zspbk0013641;zspbk0013733,(zspbk0013641) ; (zspbk0013733) ,(zspbk0013641) NA; (zspbk0013733) NA
Entretiens d'une âme pénitente avec son créateur,zspbk0013658;zspbk0013659,(zspbk0013658) ; (zspbk0013659) ,(zspbk0013658) NA; (zspbk0013659) NA
