edition_1,title_1,authors_1,imprint_place_1,imprint_year_1,imprint_publisher_1,edition_status_1,notes_1,edition_2,title_2,authors_2,imprint_place_2,imprint_year_2,imprint_publisher_2,edition_status_2,notes_2,osa,cos
nbk0015687,Miscellaneous Religious Works,,"","","",Pseudo,"",nbk0011757,Miscellaneous Religious Works,,"","","",Pseudo,"",1,1
nbk0011807,"Instructions chretiennes pour les jeunes gens, utiles à toutes sortes de personnes, melées de plusieurs traits d’histoire et d’exemples edifians.  Huitieme edition, corrigée et reimprimée par l’Ordre de Monseigneur l’Archevêque de Besançon","Humbert, Pierre Hubert (Primary)",Avignon,"",Societé des Libraires,Certain,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published 'avec approbation et permission'.,nbk0011765,"Instructions chretiennes pour les jeunes gens, utiles à toutes sortes de personnes, melées de plusieurs traits d’histoire et d’exemples edifians.  Huitieme edition, corrigée et augmentée des prieres pendant la Ste messe, de l’exercice pour La Confession et la Communion et des vepres du dimanche","Humbert, Pierre Hubert (Primary)",Avignon,"",Societé des Libraires,Certain,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published 'avec approbation et permission'.,1,1
nbk0011772,"Epitres et Evangiles des dimanches et fetes de l’année, avec des courtes reflexions.  Nouvelle edition augmentée des féries de l’Avent, des semaines du paques et de la Pentecoste, des quatres tems, des Rogations, des Prieres du matin et du soir, de l’entretien de La Messe, de l’exercice pour la Confession et la Communion, et d’une regle pour vivre chretiennement",,Nancy,"",Le Seure frères,Certain,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published 'avec approbation'.  Publisher address: Rue St Dizier.,nbk0011768,"Epitres et Evangiles des dimanches et fetes de l’année, de l’Avent, du Carême et des autres grandes feriés avec de courtes reflexions",,Paris,"",L. G. Dehaussy sur le pont au change à Saint Nicolas,Certain,Pirate edition. Edition details as in source data.  May be a false imprint.  Claims to be published 'avec approbation'.  Publisher status: Imprimeur Libraire,1,1
nbk0011980,"Mémoires politiques et militaires pour servir à l'histoire de Louis XIV et de Louis XV, par M. l’abbé Millot composés sur les pieces originales recueillies par Adrien Maurice duc de Noailles.  Nouvelle edition","Millot, Claude-François-Xavier (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not give publication details.,nbk0011824,"Mémoires politiques et militaires pour servir à l'histoire de Louis XIV et de Louis XV, composé sur les pièces originales recueillies par Adrien-Maurice, duc de Noailles, marechal de France","Millot, Claude-François-Xavier (Primary); Noailles, Adrien Maurice de (Secondary)","","","",Pseudo,Pirate edition. Edition details as in source data.,1,1
nbk0015171,Coutume de Paris par Ferriere,"Ferriere, Claude de (Primary)","","","",Pseudo,Superbook and edition not identified. Several titles by Ferriere with 'Coutume de Paris'.,nbk0011984,Coutume de Paris par Ferriere,,"","","",Pseudo,Source data does not give any details about this event – only short title and article no.,1,1
nbk0018240,Commentaire sur les tarifs du Controlle,Bazin (Primary),"","","",Pseudo,The full title after Worldcat [OCLC 460623570].,nbk0012026,Commentaire sur les tarifs du Controlle,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015069,Dictionnaire de pratique de Ferriere,"Ferrière, Claude Joseph d' (Primary)","","","",Pseudo,Edition not identified. The author updated after Worldcat.,nbk0012031,Dictionnaire de pratique de Ferriere,"Ferrière, Claude Joseph d' (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0017700,Sermons de Chapelain,"Le Chapelain, Charles-Jean-Baptiste (Primary)","","","",Pseudo,Edition not identified. Several published.,nbk0012036,Sermons de Chapelain,"Le Chapelain, Charles-Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015078,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012050,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015079,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012050,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0017192,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012050,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0017422,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012050,Oeuvres de Racine,"Racine, Jean (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0018169,Le Jardinier solitaire,"Gentil, François (Primary)","","","",Certain,The number of volumes updated for purposes of calculation.,nbk0012051,Le Jardinier solitaire,"Gentil, François (Primary)","","","",Certain,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012108,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012052,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.  Source data gives format as 'petit in-12'.,1,1
nbk0012151,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012052,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.  Source data gives format as 'petit in-12'.,1,1
nbk0014656,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Probable,"",nbk0012052,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.  Source data gives format as 'petit in-12'.,1,1
nbk0014970,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012052,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.  Source data gives format as 'petit in-12'.,1,1
nbk0016568,Oeuvres de J. B. Rousseau,"Rousseau, Jean-Baptiste (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012054,Oeuvres de J. B. Rousseau,"Rousseau, Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0017785,Grammaire de Vailly,"Wailly, Noël François [de] (Primary)","","","",Pseudo,Edition  not identified. The number of volumes updated for purposes of calculation.,nbk0012067,Grammaire de Vailly,"Wailly, Noël François [de] (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0012198,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012070,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015617,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Edition not located. The number of volumes updated after Worldcat [OCLC 461365421].,nbk0012070,Sermons de Massillon,"Massillon, Jean-Baptiste (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0018314,Proverbes dramatiques,"Carmontelle, Louis Carrogis [de] (Primary)","","","",Pseudo,"Edition not identified. The number of volumes updated after Worldcat [OCLC  	465246614] for purposes of calculation. Worldcat says ' 	Par Carmontelle.
Au t. 6, dernier f. n. ch., texte du privile?ge accorde? au libraire Joseph Merlin en 1768 et ce?de? par celui-ci au libraire Lejay en 1772. L'auteur y est de?signe? par une initiale : M.C.
Le t. 3 et le t. 4 ont chacun une 2e p. de titre portant : ""Amusemens de socie?te? ou Proverbes dramatiques"", avec l'adresse, Paris, Se?bastien Jorry, 1769.
Front. au t. 1.
Contient les proverbes 1 a? 82. Le 10e est en vers'.",nbk0012075,Proverbes dramatiques,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014605,Loix Ecclesiastiques,,"","","",Pseudo,Superbook and edition not identified. All information as in source data.,nbk0012077,Loix Ecclesiastiques,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015094,Oeuvres de Regnard,"Regnard, Jean François (Primary)","","","",Pseudo,The edition not identified. All information after source data.,nbk0012081,Oeuvres de Regnard,"Regnard, Jean François (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012166,Introduction au St Ministere,Maugin (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,nbk0012083,Introduction au St Ministere,Maugin (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0016614,Institution au droit ecclesiastique,"Fleury, Claude (Primary)","","","",Pseudo,The author updated after Worldcat [OCLC 819295524].,nbk0012090,Institution au droit ecclesiastique,"Fleury, Claude (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.  Author updated after c18 editions on Worldcat.,1,1
nbk0012115,Moeurs des Israelites,"Fleury, Claude (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides title.,nbk0012104,Moeurs des Israelites,"Fleury, Claude (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012151,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012108,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014656,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Probable,"",nbk0012108,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014970,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012108,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0016540,Histoire universelle de Bossuet,"Bossuet, Jacques Bénigne (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012109,Histoire universelle de Bossuet,"Bossuet, Jacques Bénigne (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012189,Oeuvres de Gresset,"Gresset, Jean Baptiste Louis (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012114,Oeuvres de Gresset,"Gresset, Jean Baptiste Louis (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides title.,1,1
nbk0012167,Satire de Boileau,"Boileau, Nicholas (Primary); Sanlecque, Louis [de] (Secondary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012123,Satire de Boileau,"Boileau, Nicholas (Primary); Sanlecque, Louis [de] (Secondary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides short title.,1,1
nbk0016376,Histoire de France,,"","","",Pseudo,Superbook not identified. The number of volumes updated for purposes of calculations.,nbk0012124,Histoire de France,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides short title.,1,1
nbk0017356,Histoire de France,"Mézeray, Franc?ois Eudes [de] (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012124,Histoire de France,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides short title.,1,1
nbk0017584,Histoire de France,"Mézeray, Franc?ois Eudes [de] (Primary)","","","",Pseudo,Edition not identified. The number of volumes updated for purposes of calculation [OCLC 464800459].,nbk0012124,Histoire de France,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides short title.,1,1
nbk0017698,Histoire de France,,"","","",Pseudo,Superbook and edition not identified. All information after source data. The number of volumes updated for purposes of calculation.,nbk0012124,Histoire de France,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only provides short title.,1,1
nbk0012199,Conferences d'Angers,,"","","",Pseudo,Pirate edition. Edition details as in source data.,nbk0012139,Conferences d'Angers,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012247,Conferences d'Angers sur les etats,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012140,Conferences d'Angers sur les etats,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012202,Erreurs de Voltaire,"Nonnotte, Claude-François (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012144,Erreurs de Voltaire,"Nonnotte, Claude-François (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012721,Jerusalem delivrée du Tasse,"Tasso, Torquato (Primary)",Amsterdam,"",par la compagnie,Certain,Pirate edition. Edition details as in source data.  May be a false imprint.  Source data does not give date of publication.,nbk0012145,Jerusalem delivrée du Tasse,"Tasso, Torquato (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0012192,Lettres de ganganelly,Clément XIV (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012147,Lettres de ganganelly,Clément XIV (Primary),"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012194,Henriade de Voltaire,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data only gives title.,nbk0012148,Henriade de Voltaire,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012204,Dictionnaire des Portraits,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data only gives title.,nbk0012149,Dictionnaire des Portraits,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0014656,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Probable,"",nbk0012151,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014970,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Edition not identified. All information after source data.,nbk0012151,Oeuvres de Boileau,"Boileau, Nicholas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012174,[Histoire moderne],,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,nbk0012153,[Histoire moderne],,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0012210,Office divin,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012157,Office divin,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0013279,Office divin,,Avignon,"",Louis Chambeau,Pseudo,Pirate edition. Edition details as in source data.  May be a false imprint.  Source data does not give date of publication.  Publisher status: Imprimeur Libraire.,nbk0012157,Office divin,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012208,Traité des obligations,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012163,Traité des obligations,,"","","",Certain,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012504,Consolation du Chretien,"Roissard, Nicolas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives short title.,nbk0012171,Consolation du Chretien,"Roissard, Nicolas (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0015654,Histoire universelle,,"","","",Pseudo,The edition not identified. The number of volumes updated after Worldcat [OCLC 822831208].,nbk0012172,Histoire universelle,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0016489,Histoire universelle,,"","","",Pseudo,Superbook and edition not identified. The number of volumes updated for purposes of calculations. All other information after source data.,nbk0012172,Histoire universelle,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0017946,Histoire universelle,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012172,Histoire universelle,,"","","",Pseudo,Pirate edition. Edition details as in source data. Source data does not provide publication details.,1,1
nbk0012197,Contract de mariage,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012180,Contract de mariage,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012201,Histoire moderne,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,nbk0012182,Histoire moderne,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0014265,Histoire moderne,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012182,Histoire moderne,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012184,Conferences d’Angers actes hum. Pechés & Etats,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012183,Conferences d’Angers actes hum. Pechés & Etats,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0012289,Oeuvres de Piron,"Piron, Alexis (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,nbk0012188,Oeuvres de Piron,"Piron, Alexis (Primary)","","","",Pseudo,Pirate edition. Edition details as in source data.  Source data does not provide publication details.,1,1
nbk0016000,Histoire des Empereurs,,"","","",Pseudo,Superbook and edition not identified. All information after source data.,nbk0012196,Histoire des Empereurs,,"","","",Pseudo,Pirate edition. Edition details as in source data.  Source data only gives title.,1,1
