,ID,super_book_title,author_name,super_book_code,cluster,confidence
0,3.0,Triple Avenement (le) de Jesus Christ au jugement dernier,,,,
1,4.0,Abrégé chronologique de l'histoire universelle,"Coffin, abbé",,,
2,5.0,Année Sainte ou la vie des saints innocents,"Bernard, abbé, de Vienne",,,
3,6.0,Avis aux prêtres ou réponse à deux lettres d'un docteur de Sorbonne,,,,
4,7.0,Abre?ge? de l'histoire miraculeuse de Nostre-Dame de Liesse,,,,
5,8.0,Amusements Galants de l'arrière-ban,,,,
6,9.0,"L'Alle?e de la seringue, ou, Les Noyers : poe?me he?rosatyrique en quatre chants","Le Noble, Eustache",,,
7,10.0,Apologie de plusieurs ordres reguliers,,,,
8,11.0,Apologie de l'auteur du traite des passions et de la structure analytique des parties du corps humain,,,,
9,12.0,Amusements (les) du Reparateur des brodequins d'Apollon,,,,
10,13.0,Aventures (les) du Chevalier de St Felix,,,,
11,14.0,Autorite (de l') de l'Eglise dans l'approbation et la condamnation des livres,,,,
12,15.0,Apologie de Louis le grand sur l’anéantissement du calvinisme,,,,
13,16.0,"Abrege de la Sainte Bible, en forme de questions, et de reponses familieres","Guerard, Robert",,,
14,17.0,Abrege de la Vie de Saint Antoine de Padoue,,,,
15,18.0,Almanach horoscopique sur les entrees du soleil dans les signes du zodiaque,,,,
16,19.0,Anatomie (l') de l'Homme animal et de l'homme spirituel,,,,
17,20.0,Alexandri Silvestri poeta parisiensis otia,,,,
18,21.0,Abrege de la Perfection chretienne,"Poiret, Pierre",,,
19,22.0,"Le Prince Chre?tien ou avis paternels du serenissime electeur Maximilien, duc de Bavie?re au prince electoral Ferdinand-Marie son fils.","Keurvorst van Beieren, Maximilian I",,,
20,23.0,Abrege Historique et chronologique des roys d'Espagne,,,,
21,24.0,Apocalipsis Novi orbis sistema,,,,
22,25.0,Academies Secretes des sciences ou les curiosités de l'art,,,,
23,26.0,Aneantissement (l') du Chretien aux pieds du St Sacrement,,,,
24,27.0,Abrege de la Vie du penitent de Chateauneuf,,,,
25,28.0,Abrege de l'Histoire de la revolte des Cevennes,,,,
26,29.0,Les Amans malheureux : Nouvelles historiques,,,,
27,30.0,Amusements Champetres de Mr. Paul Sylvestre de Vigier,,,,
28,31.0,Apologia Sancti Athanasii authore D. Louvel Montmartin,,,,
29,32.0,Accord (l') de St Augustin et de Pelage,,,,
30,33.0,Abrege de la Doctrine de St Paul sur la predestination,,,,
31,34.0,Alchymie ou la Pierre philosophale,,,,
32,35.0,Antimussey,,,,
