ID,super_book_title,author_name,super_book_code
3,Triple Avenement (le) de Jesus Christ au jugement dernier,NA,NA
4,Abrégé chronologique de l'histoire universelle,"Coffin, abbé",NA
5,Année Sainte ou la vie des saints innocents,"Bernard, abbé, de Vienne",NA
6,Avis aux prêtres ou réponse à deux lettres d'un docteur de Sorbonne,NA,NA
7,Abre?ge? de l'histoire miraculeuse de Nostre-Dame de Liesse,NA,NA
8,Amusements Galants de l'arrière-ban,NA,NA
9,"L'Alle?e de la seringue, ou, Les Noyers : poe?me he?rosatyrique en quatre chants","Le Noble, Eustache",NA
10,Apologie de plusieurs ordres reguliers,NA,NA
11,Apologie de l'auteur du traite des passions et de la structure analytique des parties du corps humain,NA,NA
12,Amusements (les) du Reparateur des brodequins d'Apollon,NA,NA
13,Aventures (les) du Chevalier de St Felix,NA,NA
14,Autorite (de l') de l'Eglise dans l'approbation et la condamnation des livres,NA,NA
15,Apologie de Louis le grand sur l’anéantissement du calvinisme,NA,NA
16,"Abrege de la Sainte Bible, en forme de questions, et de reponses familieres","Guerard, Robert",NA
17,Abrege de la Vie de Saint Antoine de Padoue,NA,NA
18,Almanach horoscopique sur les entrees du soleil dans les signes du zodiaque,NA,NA
19,Anatomie (l') de l'Homme animal et de l'homme spirituel,NA,NA
20,Alexandri Silvestri poeta parisiensis otia,NA,NA
21,Abrege de la Perfection chretienne,"Poiret, Pierre",NA
22,"Le Prince Chre?tien ou avis paternels du serenissime electeur Maximilien, duc de Bavie?re au prince electoral Ferdinand-Marie son fils.","Keurvorst van Beieren, Maximilian I",NA
23,Abrege Historique et chronologique des roys d'Espagne,NA,NA
24,Apocalipsis Novi orbis sistema,NA,NA
25,Academies Secretes des sciences ou les curiosités de l'art,NA,NA
26,Aneantissement (l') du Chretien aux pieds du St Sacrement,NA,NA
27,Abrege de la Vie du penitent de Chateauneuf,NA,NA
28,Abrege de l'Histoire de la revolte des Cevennes,NA,NA
29,Les Amans malheureux : Nouvelles historiques,NA,NA
30,Amusements Champetres de Mr. Paul Sylvestre de Vigier,NA,NA
31,Apologia Sancti Athanasii authore D. Louvel Montmartin,NA,NA
32,Accord (l') de St Augustin et de Pelage,NA,NA
33,Abrege de la Doctrine de St Paul sur la predestination,NA,NA
34,Alchymie ou la Pierre philosophale,NA,NA
35,Antimussey,NA,NA
36,Apparences (les) Trompeuses ou l'histoire de la marquise D***,NA,NA
37,Almanach ou Calendrier arrange par l'invalide Lyonnais,NA,NA
39,Aventures de Jacques Sadeno,NA,NA
40,Abrege nouveau de controverse pour detruire les erreurs des pretendus reformes,NA,NA
41,Apologie du systeeme des saints peres sur la trinite,"Faydit, Pierre-Valentin",NA
42,Abrege de la Vie de Louis XIV,NA,NA
43,Appel (l') des quatre eveques,"Labroue, Pierre de",NA
44,Amours de la 2e et 3e Race,NA,NA
45,Annales des Provinces unies depuis la paix de Munster,"Basnage de Beauval, Jacques",NA
47,Argumens et réflexions sur les livres et sur les chapitres de la Sainte Bible,"Ostervald, Jean-Frédéric;",NA
48,"Analyse de L'Augustin de Janse?nius. Ou? l'on expose toutes ses erreurs sur les differens e?tats de la nature pure, de la nature innoc?ente, de la nature tombe?e,","Jansenius, Cornelius; Vau, Louis Francois, abbe du",NA
49,Abrege du Projet de paix perpetuelle,"Castel de Saint-Pierre, Charles Irenee",NA
50,Action de Grace de la reine au sujet de la naissance du dauphin,NA,NA
51,Agrements (les) de la variete ou le parterre de l'esprit,NA,NA
52,"Les Amazones revolteees : roman moderne en forme de parodie sur l'histoire universelle,","Le Maingre de Bouciquault, Louis",NA
53,Abrege des nouveaux systemes du monde,NA,NA
54,Apologie des jurisdictions consulaires,NA,NA
55,Abrege de l'Histoire des croisades,NA,NA
56,Amours (les) de Rodante et de Doscile,NA,NA
57,Ariste ou le bonheur de la vie champetre,NA,NA
58,Amours (les) de Lisandre et de Carline,NA,NA
59,Anecdotes francoises depuis 1200 jusqu'en 1600,NA,NA
60,Alciphron ou le petit Philosophe: en sept dialogues,"Berkeley, George",NA
61,"Aventurier (l') hollandois, ou la Vie et les aventures divertissantes et extraordinaires d'un Hollandois.","Heinsius, Nicolas",NA
62,"Les amusemens de la Hollande : avec des remarques nouvelles et particulieres sur le genie, moeurs et caracteres de la nation ; entremeles d'episodes curieux et interessans",NA,NA
63,Apotheose du beau Sexe,"Boureau-Deslandes, André-François",NA
64,"Argus (l') de l'Europe : ouvrage historique, politique, critique, ou? l'on de?velope les inte?re?ts et les maximes des souverains, depuis la mort de l'Empereur Charles VI","Faget, Gautier de",NA
65,Anti-Pamela (l') ou La fausse innocence decouverte dans les avantures de Syréne,NA,NA
66,Amusemens des dames : ou Recueil d'histoires galantes des meilleurs auteurs de ce sie?cle,NA,NA
67,"Ascanius ou Le Jeune aventurier, histoire véritable",NA,NA
68,Aristote ou la Conduite de la sagesse a la felicite,NA,NA
69,Amours (les) d'Horace,"Pimpie de Solignac, Pierre Joseph de",NA
70,Apologie du roy de Suede dediee a Stanislas,NA,NA
71,Ane (l'),NA,NA
72,Amusements litteraires par M. ***,NA,NA
73,Avocat (l') des Ames du Purgatoire du des doyens daciles pour les aider,"Bonnyers, Marc de",NA
74,Avantages (les) de la chastete,NA,NA
75,Amant (l') fidele a bonnes et mauvaises fortunes,NA,NA
76,Argument du Livre de l'apocalypse,NA,NA
77,Anecdotes curieuses ou Essai sur la mythologie,NA,NA
78,Abrege de l'Histoire de l'eglise en vers francois,NA,NA
79,Almanach de l'Amitie francoise,NA,NA
80,Amour (l') vengeur poeme heroique,NA,NA
81,Amusements (les) de M. de Claville,NA,NA
82,Amours (les) de Mezomorto,NA,NA
83,Analyse de l'Apocalypse,"Dupin, Louis Ellies",NA
84,Affaires secretes par M. Leger,NA,NA
85,Abrege d'Histoire litteraire,NA,NA
86,"Apologie du R. P. Pierre Soto, dominicain, et des anciennes censures de Louvain et de Douay, contre l'Histoire du bai?anisme","Billuart, Charles Rene",NA
87,"Traite? de la Paresse, ou l'Art de bien employer le temps",NA,NA
88,Avantages (les) de la Raison contre l'impie,NA,NA
89,Abrege de l'Histoire sainte et profane,NA,NA
90,Abrege chronologique de la vie de Louis XIV,NA,NA
91,Abrege de l'Histoire romaine par M. Brideaux,NA,NA
92,Airs serieux et a boire,NA,NA
93,Anecdotes historiques de la cour du Maroc,NA,NA
94,Amitie (l') apres la Mort,"Singer Rowe, Elizabeth",NA
95,Abrege de la vie de M. Boudon,NA,NA
96,"Les avantures de Joseph Andrews, et du ministre Abraham Adams","Fielding, Henry",NA
97,Abrege de la loi nouvelle compris dans les deux grands commandements de l'amour de Dieu,"Vernage, Etienne-Francois de",NA
98,"Arrets, Edits, Declarations touchant le controle",NA,NA
99,Anecdotes d'Ephese,NA,NA
100,Almanach des dames savantes francoises,NA,NA
101,Apollon Mentor ou le Telemaque moderne,"Palissot de Monteroy, Charles",NA
102,Annee galante politique et amusante,NA,NA
103,Anecdotes champetres,NA,NA
104,Almanach du Parlement,NA,NA
105,"Art (l') de precher, poeme a un abbe",NA,NA
106,Avis et pratiques de devotion,NA,NA
107,Alphabet ingenieux latin et francais,NA,NA
108,"Auteur (l') laquais, ou, reponse aux objections qui ont e?te? faites au corps de ce nom","Viollet de Wagnon, Jacques",NA
109,Abrege de la Bible par demandes et par reponses,NA,NA
110,Adam et Eve tragedie,"Tanevot, Alexandre",NA
111,Aventures et Voyages de Richardie,NA,NA
112,Annee monastique,NA,NA
113,Amour (l') Precepteur ou le triomphe de la fortune,NA,NA
114,Almanach a la grecque,NA,NA
115,Anecdotes des Theatres francois et etrangers,NA,NA
116,Almanach des Femmes,NA,NA
117,"Aventures de Don Antonio de Riga, comte de St Vincent",NA,NA
118,Amours (les) du Prince Lexicon,NA,NA
119,"Academie galante, contenant diverses histoires tre?s-curieuses",NA,NA
120,De l'avenement d'Elie,"Desessarts, Alexis",NA
121,Art (l') de connaitre la religion chretienne,NA,NA
122,Antidote contre les Questions de Chapelle,NA,NA
123,Ami (l') de l'Etat ou lettre sur le patriotisme,NA,NA
124,"Angleterre (l') aux prises avec elle-me?me, ou Raisons des deux partis, expose?es par eux-me?mes aux yeux du public","St John Bollingbroke, Henry",NA
125,Aventures d'Olympe Oriolas,NA,NA
127,"Anecdotes Historiques, Galantes, Et Litteraires Du Tems Present, En Forme De Lettres",La Mothe,NA
128,Antiquite (l') devoilee,NA,NA
129,Analyse de Bayle,"Bayle, Pierre",NA
130,"Academie des Dames, ou les sept entretiens galans d'Aloysia","Chorier, Jean Nicolas",NA
131,Almanach des gens d'esprit par un homme qui n'est pas sot,"Chevrier, Francois-Antoine",NA
132,ABC (l') dialogue curieux traduit de l'anglois,NA,NA
133,"Appel a la raison des ecrits et libelles publie?s par la passion, contre les Jesuites de France","Balbany, Andre Christophe",NA
134,"Abbe (l') en belle Humeur, nouvelle galante",NA,NA
135,"Abrege de l'Histoire ecclesiastique de Fleury, traduit de l'anglois","Fleury, Claude",NA
136,Alcoran des Cordeliers,"Alberus, Erasmus",NA
137,Apocalypse de St Jean,NA,NA
138,Apologie critique des principes politiques,NA,NA
139,"Anti-contrat social : dans lequel on refute d'une maniere claire, utile","Bauclair, Paul-Louis de",NA
140,A Madame de Pompadour,NA,NA
141,Autorite (de l') des souverains dans l'Eglise,NA,NA
142,Abus de la Philosophie en matiere de religion,NA,NA
143,"Abrege des principes de morale et des regles de conduite, qu'un pre?tre doit suivre pour bien administrer le sacrement de pe?nitence","Daguerre, Jean",NA
144,"De l'Amerique et des Americains, ou, Observations curieuses de philosophe La Douceur, qui a parcouru cet hemisphere pendant la derniere guerre, en faisant le noble metier de tuer des hommes sans les manger","Pazzi de Bonneville, Zacchari de",NA
145,Aventures de Schelarsardedo (Charles Edouard),NA,NA
146,Abbe (l') a la mode ou Therese,NA,NA
147,Agriculture (l') comparee,NA,NA
148,Analyse de l'Ame des betes par M. de Reaumur,NA,NA
150,"Abrege des Principes de morale et des regles de conduite, qu'un pre?tre doit suivre pour bien administrer le sacrement de pe?nitence","Daguerre, Jean",NA
151,Apologie du Continent,NA,NA
152,Alambic moral ou Analyse raisonnee de tout ce qui a rapport a l'homme,"Rouille? d'Orfeuil, Auguste",NA
153,Anti-Bernier (l') ou Nouveau dictionnaire de theeologie,"Allamand, Francois-Louis",NA
154,Analyse de la Philosophie du marquis d'Argens,NA,NA
156,anarchie (l') médicinale,"Gilibert, Jean-Emmanuel;",NA
157,"Angola, histoire Indienne","Rochette La Morlie?re, Jacques, chevalier de",NA
158,Brave (le) infortune,NA,NA
159,Bonne Amie (la) justifiant son sexe,NA,NA
160,Blasii ad dionisiam de Chavigni religionis sistema,NA,NA
161,Buhurtiana ou fragments posthumes du P. Bouhours par M. de St Sauveur,NA,NA
162,"Le bouquet sacre?, ou, Le voyage de la terre-sainte : compose? des roses du Calvaire, des lys de Be?thle?em,","Boucher, Jean",NA
164,Bullarium romanum novum par M. Bouchard,NA,NA
165,Bilboquet (le) ou le Triomphe de Balivernier,NA,NA
166,Babillard (le),NA,NA
167,Breteurs (les),NA,NA
169,Bagatelles (les) ou Discours ironique sur les vices et sur l'extravagance,NA,NA
170,Bayle en petit ou Anatomie de ses ouvrages,"Le Febvre, Jacques",NA
171,Bibliotheque des Dames,NA,NA
172,Bourru (le) ou l'Esprit sympathique,NA,NA
173,Bonne et heureuse Annee,NA,NA
174,Batrachomyomachie (la nouvelle),NA,NA
175,Belisaire,"Marmontel, Jean-François;",NA
176,Bijoux (les) indiscrets,"Diderot, Denis;",NA
177,Balai (le),NA,NA
178,Bagatelles (les) ou le Portefeuille d'un jeune homme,NA,NA
179,Le compere Mathieu ou les bigarrures de l'esprit humain,"Du Laurens, Henri-Joseph",NA
180,Coeur (le) de l'Ame chretienne sanctifie par les operations divines,NA,NA
181,Coeur (le) du Chretien forme dans celui de Jesus Christ,NA,NA
182,Chemin (le) du Ciel par le St Dubuet,No Author Identifable,NA
183,Conscience (de la) des Pretendus reformes,NA,NA
184,Chaine de l'Histoire universelle sainte et profane,NA,NA
185,Croix (la) et les Souffrances de Jesus Christ,NA,NA
186,Comte (le) d*** Histoire arrivee au mariage de M. le duc de Bourgogne,NA,NA
187,Confessions de Saint-Augustin en vers francois,NA,NA
188,Conferences ecclesiastiques sur divers points de la morale chretienne,NA,NA
189,Conduite (la) de l'Esprit et du coeur,NA,NA
190,"Les Belles Grecques; ou, L'Histoire des plus fameuses courtisanes de la Grece et dialogues nouveaux des galantes modernes","Durand Be?dacier, Catherine",NA
191,Catechisme de la Grace,NA,NA
192,Concordance des Philosophes discordans,NA,NA
193,Comte (le) de Livri,NA,NA
194,Caracteres (les) des Petits maitres,NA,NA
195,Commentarius in Breviarium romanum,NA,NA
196,Caracteres (les) d'un Prince chretien tires des pseaumes de David,NA,NA
197,Constance (la) ou les Amours de Petrarque et de Laure,NA,NA
198,Conte des Oisons par M. Cartois,NA,NA
199,"Catechisme, avec des explications et des reflexions entresemees",NA,NA
200,Concordia Doctrina et jurisconcilii Tridentini,NA,NA
201,Caractere (le) des Belles-meres par Thouvenin,NA,NA
202,Chirurgie (la) de l'Hotel-Dieu,NA,NA
203,Conjectures sur les Causes naturelles par M. Fremin,NA,NA
204,Consolations (les) de l'Ame fidele contre les frayeurs de la mort,"Drelincourt, Charles",NA
205,Caracteres (les) de l'honnete homme chretien dans le monde,NA,NA
206,Connaissance de la bonte et de la misericorde de Dieu,NA,NA
207,Comte (le) de Gabalis et les genies assistants,NA,NA
208,"Correspondances etrangeres, changes etrangers",NA,NA
209,Cours abrege de philosophie par aphorisme,"Le Sage, George Louis",NA
210,Critique des principes naturels de droit et de politique,NA,NA
211,"Caprices (les) de l'amour et de la fortune,  ou, Les avantures de la signora Rosalina","Boyer Argens, Jean Baptiste, marquis de",NA
212,Cesar aveugle et voyageur,"Guer, Jean-Antoine",NA
213,"Certitude (de la) des connaissances humaines, ou Examen philosophique des diverses pre?rogatives de la raison et de la foi, avec une parallele entre l'une","Boureau-Deslandes, Andre-Francois",NA
214,"Canape (le) couleur de feu, histoire galante","Fougeret de Montbron, Jean-Louis",NA
215,Courrier (le) veridique,NA,NA
216,Correspondance (la) qui doit etre entre les juges ecclesiastiques et temporels,NA,NA
217,Coquetterie (la) demasquee,NA,NA
218,Cercle (le) ou le passe-temps galant,NA,NA
219,Commentaire (le) sur les Gazettes,NA,NA
220,Cent (les) et une histoires,NA,NA
221,Commentaire sur la passion,NA,NA
222,Conjecture sur les vertus et les proprietes de l'ame,NA,NA
223,Critique generale sur les defauts des hommes,NA,NA
224,Critique des ouvrages du pere Malebranche,NA,NA
225,Constitution (la) inexpugnable a l'abri de l'autorite qui la propose,NA,NA
226,Clidamis eveille ou le retour de Cithere,NA,NA
227,Critique de la suite de dom Quichotte,NA,NA
228,Coquette (la) provinciale,NA,NA
230,Contes plaisants et bons mots,NA,NA
231,Conferences sur plusieurs canons des anciens conciles,NA,NA
232,Calendrier (le) des amants,NA,NA
233,Conferences sur les principaux evenements de la vie de David et de Salomon,NA,NA
234,Caracteres de l'eloquence,NA,NA
235,Conferences du droit ecclesiastique,NA,NA
236,Commentaire sur la coutume de Paris,NA,NA
237,"Critique de la lettre sur la come?te, ou Lettre d'un philosophe a une demoiselle a?ge?e de 9 ans","Basset des Rosiers, Gilles",NA
238,Catechisme pour les fideles de l'Amerique,NA,NA
239,La Callipe?die : ou manie?re d'avoir de beaux enfants. Poeme didactique,"Quillet, Claude",NA
240,Confidences (les) reciproques ou anecdotes de la societe de Madame la comtesse de B...,"Caylus, Anne Claude, comte de",NA
241,Calendrier hieroglyphique ou idee generale de la connaissance du monde,NA,NA
