,ID,full_book_title,author_name,stated_publication_years,stated_publication_places,book_code,cluster,confidence
0,1646.0,"Preface de l'histoire de Louis XVI, ou Histoire veridique des dernieres annees de Louis XV",,1776,Cosmopolis,,,
1,1647.0,"La Vie privee d'un prince celebre, ou Detail des loisirs du prince Henry de Prusse","Morveau, Guyton, [de]",1784,Veropolis,,152.0,1.2257634125489858e-06
2,1648.0,"Portrait de Philippe II, roi d'Espagne","Mercier, Louis Sebastien",1785,,,153.0,0.32013827562332153
3,1649.0,"Le Vieux Cevenol, ou Anecdotes de la vie l'Ambroise Borely suivies de ses reflexions sur les lois relatives aux protestans suivies d'un autre ouvrage, le Roi doit modifier les lois",Rabaut Saint-Etienne,1785,,,,
4,1650.0,Avis concernant l'Institut des pauvres,Buquoy; comte de,1784,,,,
5,1651.0,Mon bonnet de nuit,"Mercier, Louis Sebastien",1784,,,,
6,1652.0,La Vie de Voltaire,"Duvernet, T.I.",1786,Geneve,,154.0,0.901211142539978
7,1653.0,La Vie de Voltaire,"Duvernet, T.I.",1786,Geneve,,154.0,0.901211142539978
8,1655.0,Secret des arts et metiers,,1766,Bruxelles,,155.0,8.281808305810046e-08
9,1659.0,Memoires pour servir a la vie de Voltaire et ecrit par lui-meme,"Voltaire, Francois Marie Arouet",1784,,,,
10,1660.0,"Pensees de Pascal corrigees, augmentees","Pascal; Voltaire, Francois Marie Arouet",1774,,,,
11,1662.0,"Eloge et pensees de Pascal, nouvelle edition commentee et corrigee","Condorcet, Nicolas, marquis de",1778,,,,
12,1663.0,Eloge [politique] de Colbert qui n'a point ete presente a l'Academie francoise pour le prix de la St Louis en 1773 par M. R. A. de Pellisery,"Pellisery, Roch-Antoine, de",1777,,,,
13,1665.0,"Herodote, historien du peuple hebreu sans le savoir, par M. l'abbe Guerin","Bonnaud, Jacques-Julien",1785,La Haye,,,
14,1666.0,"Des erreurs et de la verite, ou les Hommes rappeles au principe universel de la science par un Ph. J. N. C.","Saint Martin, Louis Claude, marquis de",1781,,,,
15,1667.0,"L'Administration du marquis de Pombal, premier ministre du roi de Portugal Joseph I","Cormatin, Pierre Dezoteux, baron de",1784,,,,
16,1669.0,"Memoires de Sebastien Joseph de Carvalho, secretaire d'etat et premier ministre du roi de Portugal","Gusta, Francesco",1784,trans,,,
17,1670.0,"Histoire du regne de Marie Therese, imperatrice-reine de Hongrie et de Boheme precedee de tables genealogiques","Fromageot, Pierre",1781,Bruxelles by Lemaire,,,
18,1671.0,Les Joueurs et Mr Dusaulx,"Marcenay de Ghuyk, Antoine de; Jacquet, Louis; Duvernet, Theveneau de Morande, Charles",1784,,,,
19,1672.0,"L'Esprit d'Henry IV, ou Anecdotes les plus ingenieux [et] quelques lettres de ce prince","Prault, Laurent L.",1778,London,,,
20,1674.0,"Traite des delits et des peines par M. le marquis de Beccaria, professeur a Milan traduit de l'italien par M. l'abbe Morellet",Beccaria,1771,Amsterdam,,,
21,1675.0,"Pensees theologiques relatives aux erreurs du tems par le R. P. D. Nicolas Jamin, religieux de la Congregation de St Maur","Jamin, Nicolas",1778,,,,
22,1676.0,Pensees theologiques relatives aux erreurs du tems,"Jamin, Nicolas",1769,Paris,,,
