ID,full_book_title,author_name,stated_publication_years,stated_publication_places,book_code
1646,"Preface de l'histoire de Louis XVI, ou Histoire veridique des dernieres annees de Louis XV",NA,1776,Cosmopolis,NA
1647,"La Vie privee d'un prince celebre, ou Detail des loisirs du prince Henry de Prusse","Morveau, Guyton, [de]",1784,Veropolis,NA
1648,"Portrait de Philippe II, roi d'Espagne","Mercier, Louis Sebastien",1785,NA,NA
1649,"Le Vieux Cevenol, ou Anecdotes de la vie l'Ambroise Borely suivies de ses reflexions sur les lois relatives aux protestans suivies d'un autre ouvrage, le Roi doit modifier les lois",Rabaut Saint-Etienne,1785,NA,NA
1650,Avis concernant l'Institut des pauvres,Buquoy; comte de,1784,NA,NA
1651,Mon bonnet de nuit,"Mercier, Louis Sebastien",1784,NA,NA
1652,La Vie de Voltaire,"Duvernet, T.I.",1786,Geneve,NA
1653,La Vie de Voltaire,"Duvernet, T.I.",1786,Geneve,NA
1655,Secret des arts et metiers,NA,1766,Bruxelles,NA
1659,Memoires pour servir a la vie de Voltaire et ecrit par lui-meme,"Voltaire, Francois Marie Arouet",1784,NA,NA
1660,"Pensees de Pascal corrigees, augmentees","Pascal; Voltaire, Francois Marie Arouet",1774,NA,NA
1662,"Eloge et pensees de Pascal, nouvelle edition commentee et corrigee","Condorcet, Nicolas, marquis de",1778,NA,NA
1663,Eloge [politique] de Colbert qui n'a point ete presente a l'Academie francoise pour le prix de la St Louis en 1773 par M. R. A. de Pellisery,"Pellisery, Roch-Antoine, de",1777,NA,NA
1665,"Herodote, historien du peuple hebreu sans le savoir, par M. l'abbe Guerin","Bonnaud, Jacques-Julien",1785,La Haye,NA
1666,"Des erreurs et de la verite, ou les Hommes rappeles au principe universel de la science par un Ph. J. N. C.","Saint Martin, Louis Claude, marquis de",1781,NA,NA
1667,"L'Administration du marquis de Pombal, premier ministre du roi de Portugal Joseph I","Cormatin, Pierre Dezoteux, baron de",1784,NA,NA
1669,"Memoires de Sebastien Joseph de Carvalho, secretaire d'etat et premier ministre du roi de Portugal","Gusta, Francesco",1784,trans,NA
1670,"Histoire du regne de Marie Therese, imperatrice-reine de Hongrie et de Boheme precedee de tables genealogiques","Fromageot, Pierre",1781,Bruxelles by Lemaire,NA
1671,Les Joueurs et Mr Dusaulx,"Marcenay de Ghuyk, Antoine de; Jacquet, Louis; Duvernet, Theveneau de Morande, Charles",1784,NA,NA
1672,"L'Esprit d'Henry IV, ou Anecdotes les plus ingenieux [et] quelques lettres de ce prince","Prault, Laurent L.",1778,London,NA
1674,"Traite des delits et des peines par M. le marquis de Beccaria, professeur a Milan traduit de l'italien par M. l'abbe Morellet",Beccaria,1771,Amsterdam,NA
1675,"Pensees theologiques relatives aux erreurs du tems par le R. P. D. Nicolas Jamin, religieux de la Congregation de St Maur","Jamin, Nicolas",1778,NA,NA
1676,Pensees theologiques relatives aux erreurs du tems,"Jamin, Nicolas",1769,Paris,NA
1677,"La Hollande au dix-huitieme siecle, ou Nouvelles lettres contenant des remarques et des observations sur les principales villes, la religion, etc","L'Honore, Francois Samuel",1779,La Haye,NA
1679,L'Aretin moderne,"Du Laurens, Henri Joseph",1783,Rome,NA
1680,L'Aretin moderne,"Du Laurens, Henri Joseph",1780,Rome,NA
