standard_name,stated_profession,person_name,person_code,profession_type,place_code,place_name,confiscation_row_ID,osa,cos,lcs,mean
Abraham,NA,Abraham,id1680,commissionnaire,pl306,PARIS,"46, 48, 116, 598, 758, 763, 764, 876, 987, 1502, 1517, 1536, 1581, 1654, 1838",1,1,1,1
Arnault,NA,Arnal,id1168,négociant,NA,NA,1373,0.7142857142857143,0.8451542547285165,0.8333333333333334,0.7975911007825215
Arnault,NA,Arnaud,id0287,maître de musique,pl052,BESANCON,1373,0.7142857142857143,0.7715167498104595,0.7692307692307692,0.7516777444423143
Arnault,NA,Arnaud,id1580,typographe,pl284,NEUFCHATEAU,1373,0.7142857142857143,0.7715167498104595,0.7692307692307692,0.7516777444423143
Arnault,NA,Arnaud,id2417,typographe,pl439,YVERDON,1373,0.7142857142857143,0.7715167498104595,0.7692307692307692,0.7516777444423143
Arnault,NA,Prault,id3605,NA,NA,NA,1373,0.7142857142857143,0.7715167498104595,0.7692307692307692,0.7516777444423143
"Aubert, abbé",NA,"Aubert, Jean",id0075,libraire,pl028,AVIGNON,1902,0.6666666666666667,0.7559289460184545,0.75,0.724198537561707
Aubriel,NA,Aurel,id2306,libraire,pl415,VALENCE en Dauphiné,1865,0.7142857142857143,0.8451542547285165,0.8333333333333334,0.7975911007825215
Aumont,NA,Dumont,id0452,libraire,pl098,CHÂTEAUDUN en DUNOIS,"151, 593",0.8333333333333334,0.8333333333333335,0.8333333333333334,0.8333333333333335
Aurest,NA,Audet,id1169,libraire,pl233,LYON,2088,0.6666666666666667,0.7302967433402214,0.7272727272727273,0.7080787124265385
Aurest,NA,Muret,id1411,commissionnaire,pl269,MORGES,2088,0.6666666666666667,0.7302967433402214,0.7272727272727273,0.7080787124265385
Aurest,NA,Muret,id1412,commissionnaire,pl269,MORGES,2088,0.6666666666666667,0.7302967433402214,0.7272727272727273,0.7080787124265385
Aurest,NA,Aurel,id2306,libraire,pl415,VALENCE en Dauphiné,2088,0.6666666666666667,0.7302967433402214,0.7272727272727273,0.7080787124265385
Aurest,NA,Muret,id2743,négociant,pl269,MORGES,2088,0.6666666666666667,0.7302967433402214,0.7272727272727273,0.7080787124265385
"Babuty, veuve",NA,"Barbou, veuve",id3374,NA,NA,NA,344,0.6923076923076923,0.8947368421052629,0.8461538461538461,0.8110661268556005
"Babuty, veuve",NA,"Boudot, veuve",id3384,NA,NA,NA,344,0.6153846153846154,0.8010018789148141,0.7692307692307692,0.7285390878433996
"Babuty, veuve",NA,"Vatel, veuve",id3567,NA,NA,NA,344,0.6153846153846154,0.8207826816681232,0.72,0.7187224323509129
"Barrière, Louis-Charles",libraire,"Charrière, Louise [de]",id0533,NA,pl114,COLOMBIER,371,0.6086956521739131,0.8658487179917637,0.6666666666666667,0.7137370122774479
Barthe,NA,Berthes,id1246,commissionnaire,pl233,LYON,1133,0.7142857142857143,0.8164965809277261,0.7692307692307692,0.7666710214814033
Barthe,NA,Berthier,id2031,curé,pl353,RUYRES-les-PRÉS,1133,0.625,0.8249579113843055,0.7142857142857143,0.7214145418900065
Batilliot,NA,Batilliot,id1693,banquier,pl306,PARIS,"933, 945, 991, 1022, 1042",1,1,1,1
Batilliot,NA,Bailliod,id1494,NA,pl283,Neuchâtel,"933, 945, 991, 1022, 1042",0.7777777777777778,0.819891591749923,0.8235294117647058,0.8070662604308021
Batilliot,NA,Maillot,id1945,procureur; conseiller [droit],pl321; pl321,PONTARLIER; PONTARLIER,"933, 945, 991, 1022, 1042",0.6666666666666667,0.8606629658238704,0.75,0.7591098774968458
Batillot,NA,Batilliot,id1693,banquier,pl306,PARIS,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.8888888888888888,0.968962790249909,0.9411764705882353,0.9330093832423444
Batillot,NA,Maillot,id1945,procureur; conseiller [droit],pl321; pl321,PONTARLIER; PONTARLIER,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.75,0.8660254037844386,0.8,0.8053418012614796
Batillot,NA,Gallot,id1530,NA,pl283,Neuchâtel,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.625,0.8164965809277259,0.7142857142857143,0.7185940984044801
Batillot,NA,Bullot,id3122,maire,NA,NA,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.625,0.8164965809277259,0.7142857142857143,0.7185940984044801
Batillot,NA,Pillot,id3527,NA,NA,NA,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.625,0.8164965809277259,0.7142857142857143,0.7185940984044801
Batillot,NA,Bailliod,id1494,NA,pl283,Neuchâtel,"1190, 1264, 1265, 1286, 1339, 1342, 1395, 1408, 1468, 1470, 1602",0.625,0.7500000000000001,0.75,0.7083333333333334
Baudouin,NA,Baudouin,id3233,NA,NA,NA,1982,1,1,1,1
Baudouin,NA,Hardouin,id2991,NA,pl306,PARIS,1982,0.75,0.7826237921249264,0.75,0.7608745973749755
Baudouin,NA,Hardouin,id3472,NA,NA,NA,1982,0.75,0.7826237921249264,0.75,0.7608745973749755
Baudouin,NA,Baudson,id3234,NA,NA,NA,1982,0.625,0.8366600265340756,0.8,0.7538866755113585
Baudouin,NA,Baudit,id0739,NA,pl171,GENÈVE,1982,0.625,0.7745966692414834,0.7142857142857143,0.7046274611757326
Bauquet,NA,Jaquet,id2887,libraire,pl214,LILLE,1608,0.7142857142857143,0.8164965809277261,0.7692307692307692,0.7666710214814033
Bauquet,NA,Marquet,id1243,fondeur en caractères d'imprimerie,pl233,LYON,1608,0.7142857142857143,0.7559289460184544,0.7142857142857143,0.728166791529961
Bauquet,NA,Briquet,id2813,NA,pl091,CHÂLONS-sur-MARNE,1608,0.7142857142857143,0.7559289460184544,0.7142857142857143,0.728166791529961
Belin [All unidentified],Libraire,Nyon (all unidentified),id3620,NA,NA,NA,2041,0.7083333333333333,0.8810579046096007,0.7234042553191489,0.7709318310873609
Belin [All unidentified],NA,Nyon (all unidentified),id3620,NA,NA,NA,"1024, 1154, 1157, 1235, 1236, 1238, 1309, 1314, 1456, 1512, 1520, 1594, 1603, 1614, 1615, 1659, 1700, 1714, 1752, 1793, 1798, 1812, 1857, 1881, 1891, 1927, 1928, 2007, 2050, 2063",0.7083333333333333,0.8810579046096007,0.7234042553191489,0.7709318310873609
Belin [All unidentified],Libraire,Estienne (all unidentified),id3616,NA,NA,NA,2041,0.6666666666666667,0.903825983500532,0.7058823529411764,0.7587916677027917
Belin [All unidentified],NA,Estienne (all unidentified),id3616,NA,NA,NA,"1024, 1154, 1157, 1235, 1236, 1238, 1309, 1314, 1456, 1512, 1520, 1594, 1603, 1614, 1615, 1659, 1700, 1714, 1752, 1793, 1798, 1812, 1857, 1881, 1891, 1927, 1928, 2007, 2050, 2063",0.6666666666666667,0.903825983500532,0.7058823529411764,0.7587916677027917
Belin [All unidentified],Libraire,Le Clerc (all unidentified),id3618,NA,NA,NA,2041,0.6666666666666667,0.8742274308808125,0.7058823529411764,0.7489254834962186
Belin [All unidentified],NA,Le Clerc (all unidentified),id3618,NA,NA,NA,"1024, 1154, 1157, 1235, 1236, 1238, 1309, 1314, 1456, 1512, 1520, 1594, 1603, 1614, 1615, 1659, 1700, 1714, 1752, 1793, 1798, 1812, 1857, 1881, 1891, 1927, 1928, 2007, 2050, 2063",0.6666666666666667,0.8742274308808125,0.7058823529411764,0.7489254834962186
Belin [All unidentified],Libraire,Saugrain (all unidentified),id3621,NA,NA,NA,2041,0.6666666666666667,0.823791232945381,0.7058823529411764,0.7321134175177413
Belin [All unidentified],NA,Saugrain (all unidentified),id3621,NA,NA,NA,"1024, 1154, 1157, 1235, 1236, 1238, 1309, 1314, 1456, 1512, 1520, 1594, 1603, 1614, 1615, 1659, 1700, 1714, 1752, 1793, 1798, 1812, 1857, 1881, 1891, 1927, 1928, 2007, 2050, 2063",0.6666666666666667,0.823791232945381,0.7058823529411764,0.7321134175177413
Belin [All unidentified],Libraire,MÚrigot (all unidentified),id3619,NA,NA,NA,2041,0.6538461538461539,0.8541985556144385,0.6799999999999999,0.7293482364868641
Belin [All unidentified],NA,MÚrigot (all unidentified),id3619,NA,NA,NA,"1024, 1154, 1157, 1235, 1236, 1238, 1309, 1314, 1456, 1512, 1520, 1594, 1603, 1614, 1615, 1659, 1700, 1714, 1752, 1793, 1798, 1812, 1857, 1881, 1891, 1927, 1928, 2007, 2050, 2063",0.6538461538461539,0.8541985556144385,0.6799999999999999,0.7293482364868641
"Belin, François",Libraire,"Bailliod, François",id1475,négociant,pl280,NAPLES,1977,0.7222222222222222,0.8795932074125605,0.7878787878787878,0.7965647391711901
"Belin, François",Libraire,"Magnin, François",id0251,papetier,pl050,BERNE,1977,0.75,0.8548504142651103,0.7741935483870968,0.7930146542174024
"Belin, François",Libraire,"Meuron, François",id0478,négociant,pl102,"CHAUX-de-FONDS, La",1977,0.75,0.8314971796756813,0.7741935483870968,0.7852302426875927
"Belin, François",Libraire,"Verdan, François",id0892,négociant,pl180,GRENG,1977,0.75,0.8314971796756813,0.7741935483870968,0.7852302426875927
