,name,alternative_names,town,C18_lower_territory,C18_sovereign_territory,C21_admin,C21_country,geographic_zone,BSR,HRE,EL,IFC,P,HE,HT,WT,PT,PrT,distance_from_neuchatel,latitude,longitude,notes
pl521,AARAU,NULL,AARAU,Berne,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,95,47.39284722,8.04373889,NULL
pm523,Abbeville,Null,Abbeville,Amiens,France,Somme,France,French,Bourbon France,0,0,0,0,,0,0,0,0,,50° 6? 20.88? N,1° 50? 8.88? E,
pn536,Agen,NULL,Agen,Bordeaux,France,Lot-et-Garonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,44°12?18?N ,0°37?16?E,
pl002,AIGLE,NULL,AIGLE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,75,46.31768333,6.96686111,NULL
pl003,AIRE-en-ARTOIS,Aire-sur-la-Lys,AIRE-en-ARTOIS,Lille,France,Pas-de-Calais,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,345,50.63798889,2.39558889,NULL
pl004,AIX,Aix-en-Provence,AIX-en-PROVENCE,Provence,France,Bouches-du-Rhône,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,402,43.52490833,5.45414444,Higher education: a University created in 1409 and suppressed in 1793. 
pl515,AIX-EN-SAVOIE,Aix-les-Bains,AIX-les-BAINS,Savoy,Piedmont,Savoie,France,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,164,45.68949722,5.91565278,Annexed to France 27 November 1792. The C18 sovereign territory 'Sardinia' was renamed 'Piedmont' to avoid confusion with the island of 'Sardinia' which did not receive any books.
pn537,Albi,Alby,Albi,Toulouse,France,Tarn,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,43°55?44?N,2°08?47?E,
pn538,Alençon,NULL,Alençon,Alençon,France,Orne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,48°25?50?N,0°05?35?E,
pl005,ALICANTE,NULL,ALICANTE,Valencia,Spain,Valencia,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,1134,38.35520278,-0.51578611,NULL
pl006,ALTDORF,NULL,ALTDORF,Uri,Swiss confederation,Uri,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,131,46.880475,8.64463611,Identification uncertain: more probable than Altdorf in Schaffhouse. Higher education: Gymnasium philosophicum (academy) created in 1577/8 became a university in 1622/3; it was suppressed in 1809.
pl007,ALTONA,NULL,ALTONA,Holstein,Denmark,Hamburg,Germany,Scandinavian,Rest of Europe,1,0,0,0,0,0,0,0,0,759,53.54318889,9.96366389,NULL
pl008,AMBERT,NULL,AMBERT,Riom,France,Puy-de-Dôme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,293,45.55061944,3.73944167,NULL
pl009,AMIENS,NULL,AMIENS,Amiens,France,Somme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,470,49.89391667,2.29424167,NULL
pl010,AMSTERDAM,NULL,AMSTERDAM,Holland,United Provinces,North Holland,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,614,52.35472778,4.90405278,NULL
pl011,"ANDELEYS, Les",NULL,"ANDELEYS, Les",Rouen,France,Eure,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,480,49.2469,1.41892222,NULL
pl012,ANDUZE,NULL,ANDUZE,Montpellier,France,Gard,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,399,44.05506944,3.98514167,NULL
pl013,ANET,Ins,ANET,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,14,47.00604444,7.10614167,Confirmation: Anet is French name for Ins in Berne. The client is local: makes one order for one book and asks it to be sent via post or voiturier Haas who is based in Bienne.
pn539,Angers,NULL,Angers,Tours,France,Maine-et-Loire,France,French,Bourbon France,0,0,0,0,1,0,0,0,0,,47°28?25?N ,0°33?15?W,"University founded at Angers, 1229, preceded by Studium from about 1080."
pl014,ANNECY,NULL,ANNECY,Savoy,Piedmont,Haute-Savoie,France,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,136,45.899625,6.12845278,Annexed to France 27 November 1792. The C18 sovereign territory 'Sardinia' was renamed 'Piedmont' to avoid confusion with the island of 'Sardinia' which did not receive any books.
pl015,ANNONAY,NULL,ANNONAY,Montpellier,France,Ardèche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,261,45.24034444,4.66843333,Confirmation: after map by H. Jaillot of Dauphiné (1728).
pl477,ANVERS,Antwerp,ANTWERP,Brabant,Austrian Netherlands,Antwerp,Belgium,Belgian,Rest of Europe,1,0,0,0,0,1,0,0,0,505,51.22058056,4.39972222,"For mapping purposes the two enclaves of Malines have been included in the C18 lower territory of Brabant. For mapping reasons and data analysis, the C18 lower territories of Flanders, Hainaut, Brabant and Luxembourg are treated as a single C18 sovereign territory of 'Austrian Netherlands' separate from the rest of the 'Austrian Empire'."
pl016,APT,NULL,APT,Provence,France,Bouches-du-Rhône,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,366,43.87693056,5.39173611,Confirmation: Provence side of border with Comtat Venaissin on Nicolas Le Fer map of Provence from 1706.
pl017,ARBERG,Aarberg,AARBERG,Berne,Swiss confederation,Berne,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,27,47.03333333,7.27760556,Confirmation: appears local: correspondence includes orders for Journal helvetique.
pl018,ARBOIS,NULL,ARBOIS,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,89,46.902075,5.77173611,NULL
pl019,ARDON,NULL,ARDON,Besançon,France,Jura,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,83,46.77403611,5.88894722,"Identification uncertain. This is the nearest Ardon to Neuchâtel. Could also be Ardon in Valais (90 km distant) or even Ardon in the Loiret near Orleans. Correspondence lacks precise data, but as correspondent is a papetier and not based in a large town, he is probably relatively local."
pl500,ARNHEIM,Arnhem,ARNHEM,Gelderland,United Provinces,Gelderland,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,560,51.97973056,5.91240278,NULL
pm524,Arras,null,Arras,Lille,France,Pas de Calais,France,French,Bourbon France,0,0,0,1,0,0,0,0,0,,50° 17? 22.92? N,2° 46? 50.88? E,technically Arras had a Conseil superieure and not a Parlement
pl020,AUBONNE,NULL,AUBONNE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,69,46.49536389,6.39171944,NULL
pl021,AUCH,NULL,AUCH,Auch,France,Gers,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,620,43.64766111,0.58515833,NULL
pl022,AUGSBOURG,Augsburg,AUGSBURG,Augsburg,Augsburg,Bavaria,Germany,German,Rest of Europe,1,0,1,0,0,0,0,0,0,334,48.36545833,10.89476667,NULL
pn540,Aurillac,NULL,Aurillac,Riom,France,Cantal,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,,44°55?34?N ,2°26?26?E,
pl023,AUTUN,NULL,AUTUN,Burgundy,France,Saône-et-Loire,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,200,46.94978333,4.29942222,NULL
pl024,AUVERNIER,NULL,AUVERNIER,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,4,46.97550278,6.87915,"Place identity and details confirmed in the Dictionnaire historique de la Suisse. For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl025,AUXERRE,NULL,AUXERRE,Burgundy,France,Yonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,268,47.48318611,3.57440278,At times part of Paris généralité; considered part of Burgundy for Estates-General in 1789.
pl026,AUXONNE,NULL,AUXONNE,Burgundy,France,Côte d'Or,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,119,47.19393611,5.38866389,NULL
pl475,AVALLON,NULL,AVALLON,Burgundy,France,Yonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,235,47.49255278,3.90798889,NULL
pl027,AVENCHES,NULL,AVENCHES,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,15,46.88004167,7.04074167,Place identity and details confirmed in the Dictionnaire historique de la Suisse.
pl028,AVIGNON,NULL,AVIGNON,Venaissin,Papal Territories: Venaissin,Vaucluse,France,French,Rest of Europe,0,1,0,0,1,0,0,1,0,376,43.94861111,4.80596667,Occupied by French forces 1768-1774; annexed to France in September 1791. Higher education: University was founded in 1303 but suppressed in 1793.
pl029,AVOUZON,NULL,AVOUZON,Burgundy,France,Ain,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,105,46.281975,6.02737222,NULL
pl487,AVRANCHES,NULL,AVRANCHES,Caen,France,Manche,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,648,48.68376111,-1.35510278,NULL
pl447,BÔLE,NULL,BÔLE,Neuchâtel,Prussia: Neuchâtel,Neuchâtel,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,1,7,46.967275,6.84121389,"For mapping and data analysis reasons, Neuchâtel sovereign territory is 'Neuchâtel' and not 'Prussia'."
pl030,BÄCH,NULL,BÄCH,Schwyz,Swiss confederation,Schwyz,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,139,47.20376111,8.73295278,"Identity uncertain; There are BÃ¤chs in Berne, Lucerne and Schwyz, but the correspondent Blattler was a papetier. His letters took 11 days to reach the STN and BÃ¤chs in Schwyz from 1769 had a papermill, it seems the most likely candidate. This is, moreover, the only BÃ¤ch recorded in Dictionnaire Historique de la Suisse. No population figure is given. The slow speed of letters plus the fact that the letter added 'en Suisse' to the address raises possibility he wrote from BÃ¤ch in Austria."
