place_code,name,alternative_names,town,C18_lower_territory,C18_sovereign_territory,C21_admin,C21_country,geographic_zone,BSR,HRE,EL,IFC,P,HE,HT,WT,PT,PrT,distance_from_neuchatel,notes,geoname,geoname_lat,geoname_lng
pl521,AARAU,NULL,AARAU,Berne,Swiss confederation,Aargau,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,95,NA,2661881,47.39254,8.04422
pm523,Abbeville,Null,Abbeville,Amiens,France,Somme,France,French,Bourbon France,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA
pn536,Agen,NULL,Agen,Bordeaux,France,Lot-et-Garonne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl002,AIGLE,NULL,AIGLE,Berne,Swiss confederation,Vaud,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,75,NA,2661834,46.3181,6.96457
pl003,AIRE-en-ARTOIS,Aire-sur-la-Lys,AIRE-en-ARTOIS,Lille,France,Pas-de-Calais,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,345,NA,3038393,50.63871,2.39876
pl004,AIX,Aix-en-Provence,AIX-en-PROVENCE,Provence,France,Bouches-du-Rhône,France,French,Bourbon France,0,0,0,1,1,0,0,0,0,402,Higher education: a University created in 1409 and suppressed in 1793.,3038354,43.5283,5.44973
pl515,AIX-EN-SAVOIE,Aix-les-Bains,AIX-les-BAINS,Savoy,Piedmont,Savoie,France,Italian,Rest of Europe,0,0,0,0,0,0,0,0,0,164,Annexed to France 27 November 1792. The C18 sovereign territory 'Sardinia' was renamed 'Piedmont' to avoid confusion with the island of 'Sardinia' which did not receive any books.,3038350,45.69173,5.90863
pn537,Albi,Alby,Albi,Toulouse,France,Tarn,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pn538,Alençon,NULL,Alençon,Alençon,France,Orne,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
pl005,ALICANTE,NULL,ALICANTE,Valencia,Spain,Valencia,Spain,Iberian,Rest of Europe,0,0,0,0,0,0,0,0,0,1134,NA,2521978,38.34517,-0.48149
pl006,ALTDORF,NULL,ALTDORF,Uri,Swiss confederation,Uri,Switzerland,Helvetic,Swiss,0,0,0,0,0,0,0,0,0,131,Identification uncertain: more probable than Altdorf in Schaffhouse. Higher education: Gymnasium philosophicum (academy) created in 1577/8 became a university in 1622/3; it was suppressed in 1809.,2661780,46.88042,8.64441
pl007,ALTONA,NULL,ALTONA,Holstein,Denmark,Hamburg,Germany,Scandinavian,Rest of Europe,1,0,0,0,0,0,0,0,0,759,NA,2911296,53.55,9.93333
pl008,AMBERT,NULL,AMBERT,Riom,France,Puy-de-Dôme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,293,NA,3037937,45.55,3.75
pl009,AMIENS,NULL,AMIENS,Amiens,France,Somme,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,470,NA,3037854,49.9,2.3
pl010,AMSTERDAM,NULL,AMSTERDAM,Holland,United Provinces,North Holland,Netherlands,Dutch,Rest of Europe,0,0,0,0,0,0,0,0,0,614,NA,2759794,52.37403,4.88969
pl011,"ANDELEYS, Les",NULL,"ANDELEYS, Les",Rouen,France,Eure,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,480,NA,3002172,49.25,1.4166666666666667
pl012,ANDUZE,NULL,ANDUZE,Montpellier,France,Gard,France,French,Bourbon France,0,0,0,0,0,0,0,0,0,399,NA,3037682,44.05409,3.98545
