book_code,place_name,place_code,place_canonical_name,confidence,full_book_title
bk0000003,Paris,pl306,PARIS,1,"Abrégé de l'Histoire générale des voyages, contenant ce qu'il y a de plus remarquable, de plus utile et de mieux avéré dans les pays où les voyageurs ont pénétré; les moeurs des habitans, la religion, les usages, arts et sciences, commerce, manufactures... Par M. de La Harpe"
bk0000014,Grenoble,pl181,GRENOBLE,1,"Boulevard (le) des Chartreux, poeme chrétien"
bk0000015,Neuchâtel,pl283,Neuchâtel,1,"Réponse du sieur Bourboulon... au Compte rendu au roi par M. Necker, directeur général des finances"
bk0000023,Maestricht,pl236,MAESTRICHT,1,"Contes moraux, par Mde Le Prince de Beaumont"
bk0000029,Lausanne,pl206,LAUSANNE,1,"Discours de M. le marquis César Beccaria Bonesana... professeur royal de la chaire nouvellement établie par ordre de S. M. impériale pour le commerce et l'administration publique, prononcé à son installation dans les écoles Palatines"
bk0000035,Paris,pl306,PARIS,1,"Dictionnaire de l'industrie, ou Collection raisonnée des procédés utiles dans les sciences et dans les arts... par une Société de gens de lettres"
bk0000036,Paris,pl306,PARIS,1,"Dictionnaire des origines, ou Époques des inventions utiles, des découvertes importantes, et de l'établissement des peuples, des religions, des sectes"
bk0000040,Yverdon,pl439,YVERDON,1,"Dictionnaire de chymie; contenant la théorie & la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine & à l'économie animale; avec l'explication détaillée de la vertu & de la maniere d'agir des médicamens chymiques; & les principes fondamentaux des arts, manufactures & métiers d'épendans de la chymie"
bk0000041,Yverdon,pl439,YVERDON,1,Dictionnaire raisonné universel d'histoire naturelle
bk0000042,Geneva,pl171,GENÈVE,0.9473684210526316,"Devoirs (les), statuts ou règlements généraux des F:. M:. mis dans un nouvel ordre et approuvés par la grande loge des Sept Provinces Unies des Pays-Bas"
bk0000043,Neuchâtel,pl283,Neuchâtel,1,Exposé des motifs qui ont engagé sa majesté le roi de Prusse à s'opposer au démembrement de la Bavière: juillet 1778
bk0000044,Geneva,pl171,GENÈVE,0.9473684210526316,Exposé justificatif pour le peuple du canton de Fribourg en Suisse: au sujet des troubles arrivés en 1781
bk0000047,Geneva,pl171,GENÈVE,0.9473684210526316,Convient-il de supprimer une partie des sermons qui se prononcent à Genève? Examen de cette question
bk0000050,Yverdon,pl439,YVERDON,1,Encyclopédie économique ou Système général: 1 ° d'économie rustique... 2 ° d'économie domestique... 3 ° d'économie politique... Ouvrage extrait des meilleurs livres... par quelques membres de la Société économique de Berne
bk0000051,Brussels,pl351,"ROUSSES, Les",0.9210526315789473,"Encyclopédie de jurisprudence ou dictionnaire complet... de jurisprudence civile, criminelle, canonique et bénéficiale de toutes les nations de l'Europe, par une société de jurisconsultes"
bk0000053,Geneva,pl171,GENÈVE,0.9473684210526316,"Eglise (de l') du Pape, de quelques points de controverse, et des moyens de réunion entre toutes les Églises Chrétiennes"
bk0000057,Lausanne,pl206,LAUSANNE,1,Considerations sur les causes de l'ancienne foiblesse de l'Empire de Russie
bk0000060,Lausanne,pl206,LAUSANNE,1,"Essais, ou réflexions intéressantes relatives à la chymie, la médecine, l'économie et le commerce"
bk0000062,Lyons,pl233,LYON,0.9736842105263158,Essais historiques et critiques sur les juifs anciens et modernes; ou Supplément aux Moeurs des Israélites de M. l'abbé Fleurs
bk0000067,Yverdon,pl439,YVERDON,1,"Esprit (l') d'Addisson: ou Les beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie, ouvrage nouvellement trad. de l'anglais par Mr. J.P.A. "
bk0000069,Neuchâtel,pl283,Neuchâtel,1,"Cours abrégé de géographie historique, ancienne & moderne, et de sphère: par demandes & réponses. Quatrième édition, revue, corrigée et augmentée par l'auteur"
bk0000070,Neuchâtel,pl283,Neuchâtel,1,Géographie élémentaire. Quatrième édition
bk0000073,Geneva,pl171,GENÈVE,0.9473684210526316,"Monsieur Guillaume, ou Le Disputeur"
bk0000074,Paris,pl306,PARIS,1,"Henri IV, drame lyrique en 3 actes et en prose, par M. de Rozoy [Versailles, les Comédiens italiens, 16 décembre 1774.]"
bk0000084,Lausanne,pl206,LAUSANNE,1,"Abrégé de l'histoire poétique, ou Introduction à la mythologie par demandes et par réponses, à l'usage du College de Lausanne. Nouvelle édition revuë, corrigée et augmentée"
bk0000087,Yverdon,pl439,YVERDON,1,"Histoire de Russie: tirée des chroniques originales, des pièces authentiques et des meilleurs historiens de la nation"
bk0000088,Turin,pl412,TURIN,1,"Histoire généalogique de la royale maison de Savoie, justifiée par titres, fondations de monastères... et autres preuves authentiques, par Samuel Guichenon... Nouvelle édition, avec des supplémens jusqu'à nos jours, suivis d'une dissertation contenant des remarques et additions... à cette histoire "
bk0000093,Neuchâtel,pl283,Neuchâtel,1,"Intolérance (l') ecclésiastique, ou Les malheurs d'un hétérodoxe/La vie et les opinions de maître Sébaltus Nothanker"
bk0000094,Neuchâtel,pl283,Neuchâtel,1,Introduction à la connaissance géographique et politique des Etats de l'Europe
bk0000095,Lausanne,pl206,LAUSANNE,1,Londres
bk0000101,Neuchâtel,pl283,Neuchâtel,1,"Sermons sur différens textes de l'Ecriture-Sainte, par J.E. Bertrand, membre de plusieurs académies, professeur de belles-lettres, et ci-devant ministre du Saint Evangile à Neuchâtel"
bk0000103,Lausanne,pl206,LAUSANNE,1,"Journal d'un voyage de Constantinople en Pologne, fait à la suite de Son Excellence Mr Jaq. Porter, ambassadeur d'Angleterre, par le R. P. Joseph Boscowich... en 1762"
bk0000106,Yverdon,pl439,YVERDON,1,Maladies des enfants: traduit de l'anglois du docteur Jean Cooke
bk0000107,Yverdon,pl439,YVERDON,1,"Mémoires géographiques physiques et historiques sur l'Asie, l'Afrique et l'Amérique"
bk0000110,Berne,pl050,BERNE,1,Questions de droit naturel et observations sur le traité du droit de la nature de M. le Baron de Wolf
bk0000111,Yverdon,pl439,YVERDON,1,"Voyages d'un philosophe, ou Observations sur les moeurs et les arts des peuples de l'Afrique, de l'Asie et de l'Amérique"
bk0000112,Berne,pl050,BERNE,1,Satyres (les) de Perse avec des notes
bk0000116,Lausanne,pl206,LAUSANNE,1,Joh. Eberhardi Roesleri institutiones iurisprudentiae naturalis in usum collegiorum
bk0000117,Yverdon,pl439,YVERDON,1,"Fatalisme (le), ou Collection d'anecdotes, pour prouver l'influence du sort sur l'histoire du coeur humain"
bk0000119,Yverdon,pl439,YVERDON,1,"Traité de l'homme selon les différentes merveilles qui le composent, par le P. André"
bk0000128,Lausanne,pl206,LAUSANNE,1,Etrenne chrétienne ou méditations et prières ... traduit de l'anglois sur la dixième édition
bk0000129,Geneva,pl171,GENÈVE,0.9473684210526316,"Discours de l'empereur Julien, contre les chrétiens, traduit par Mr. le marquis d'Argens ...; Avec de nouvelles notes de divers auteurs"
bk0000130,Geneva,pl171,GENÈVE,0.9473684210526316,Défense de Louis XIV
bk0000132,Lyons,pl233,LYON,0.9736842105263158,"Ouvrages de feu Mr. Forbes, Lord-Président des Assises d'Edimbourg: contenants: des pensées sur la religion naturelle et révéleé, une lettre a un évêque; des reflexions sur l'incrédulité, traduits de l'anglois, avec des notes, par le R.P. Houbigant, prêtre de l'Oratoire"
bk0000136,Geneva,pl171,GENÈVE,0.9473684210526316,Sermons sur différens textes de l'Ecriture Sainte [Rochemont]
bk0000137,Yverdon,pl439,YVERDON,1,"Poesie del sig. Alberto Haller, tradotte in versi italiani dal sig. A. S."
bk0000138,Paris,pl306,PARIS,1,Dictionarium latino gallicum
bk0000139,Lyons,pl233,LYON,0.9736842105263158,Corps (des) politiques et de leurs gouvernements. Seconde édition revue & très-augmentée
bk0000141,Lyons,pl233,LYON,0.9736842105263158,"Moeurs et coutumes des François, ouvrage où on traite de l'origine de la nation, de l'établissement de la monarchie et de son gouvernement politique, civil, militaire et ecclésiastique, par M. Poullin de Lumina"
bk0000142,Lyons,pl233,LYON,0.9736842105263158,Primatu (De) Romani Pontificis = Primauté (de la) du pape
bk0000143,Geneva,pl171,GENÈVE,0.9473684210526316,"Essai analytique sur les facultés de l'âme, par Charles Bonnet"
bk0000152,Neuchâtel,pl283,Neuchâtel,1,Recueil des passages du Nouveau Testament qui servent à établir les vérités et les devoirs de la religion chrétienne
bk0000154,Geneva,pl171,GENÈVE,0.9473684210526316,"Principes abrégés sur la théorie et la pratique des changes, avec des applications relatives à Genève, et les démonstrations de la règle de trois et de la règle conjointe"
bk0000156,London,pl224,LOUDUN,0.9473684210526316,"Sermon prêché... sur la tombe de Pierre le Grand, le lendemain du jour que l'on reçut à St-Pétersbourg la nouvelle de la victoire navale remportée sur la flotte turque... par Platon"
bk0000157,Lausanne,pl206,LAUSANNE,1,"Mémoires historiques, militaires et politiques sur les principaux évènemens arrivés dans l'isle & royaume de Corse, depuis le commencement de l'année 1738 jusques à la fin de l'année 1741: avec l'histoire naturelle de ce païs-là, & diverses remarques curieuses touchant l'origine des peuples qui l'habitent: le tout enrichi d'une carte nouvelle de l'Isle de Corse, & dédié à M. le Comte de Maillebois"
bk0000159,Turin,pl412,TURIN,1,"Trattato sopra la cura delle api, contenente l'istoria naturale di quest'insetti, co'varii metodi si antichi come moderni di governarli e l'istoria naturale delle vespe e de'calabroni, co'mezzi di distruggerli, ornato di rami del signor Tommaso Wildman. Tradotto dall'inglese nella toscana favella da Pier Domenico Soresi"
bk0000160,Lausanne,pl206,LAUSANNE,1,"Homme (l') au latin, ou la Destinée des savants, histoire sans vraisemblance "
bk0000165,Lausanne,pl206,LAUSANNE,1,"République (la) littéraire, ou Description allégorique et critique des sciences et des arts, ouvrage posthume de Dom Diego Saavedra Fajardo... traduit de l'espagnol, sur l'édition la plus correcte, publiée à Madrid en 1735, présenté au public par les soins et aux dépens du libraire"
bk0000166,Geneva,pl171,GENÈVE,0.9473684210526316,"Nicolai Hieronymi Gundlingii jus naturae ae gentium, connexâ ratione novâ que methodo elaboratum et à praesumptis opinionibus aliis que ineptiis vacuum: editio nova auctior et emendatior"
bk0000167,Lausanne,pl206,LAUSANNE,1,Observations sur des matières de jurisprudence criminelle
bk0000171,Lausanne,pl206,LAUSANNE,1,"Prédicateur (la) évangélique, ou sermons pour tous les dimanches et les principales fêtes de l'année"
bk0000179,Lausanne,pl206,LAUSANNE,1,Considérations sur les causes de la grandeur des Romains et de leur décadence
bk0000180,Geneva,pl171,GENÈVE,0.9473684210526316,"Sermons sur divers textes de l'Ecriture Sainte, par Mr. Amedée Lullin, pasteur et professeur en histoire ecclesiastique à Geneve"
bk0000185,Geneva,pl171,GENÈVE,0.9473684210526316,"Examen de la nouvelle histoire de Henri IV, de M. de Bury"
bk0000186,Geneva,pl171,GENÈVE,0.9473684210526316,"Histoire de la maison de Brunswick, par Mallet"
bk0000189,Geneva,pl171,GENÈVE,0.9473684210526316,"Annales politiques de feu monsieur Charles Irénée Castel, abbé de St. Pierre, de l'Académie françoise"
bk0000193,Lausanne,pl206,LAUSANNE,1,"Réflexions sur l'économie politique, ouvrage traduit de l'italien"
bk0000194,Lyons,pl233,LYON,0.9736842105263158,"Américaines (les), ou La Preuve de la religion chrétienne par les lumières naturelles"
bk0000196,Lausanne,pl206,LAUSANNE,1,"Regula cleri: ex sacris litteris sanctorum patrum monimentis, ecclesiastique sanctionibus excerpta"
bk0000197,Yverdon,pl439,YVERDON,1,"Médecine végétale, tirée uniquement des plantes usuelles, appliquées aux différentes maladies qui règnent dans les campagnes"
bk0000198,Lausanne,pl206,LAUSANNE,1,Histoire du Parlement de Paris
bk0000200,Lausanne,pl206,LAUSANNE,1,"Abrégé historique de la vie de Marie-Thérèse, impératrice-reine de Hongrie, tiré de la Galerie universelle des hommes célèbres etc."
bk0000202,Winterthur,pl437,WINTERTHOUR,0.9736842105263158,Pour Raillerie
bk0000203,Berne,pl050,BERNE,1,"Conseils pour former une bibliothèque historique de la Suisse, par M. Haller"
