ID,long_title,date,place,publisher,author_name,book_code
72,"L'histoire du noble et vaillant chevalier Pierre de Provence et de Maguelonne, fille du roy de Naples, où sont amplement déclarées ses proüesses et leurs honnètes amours et mariage",1733,Tarascon,Pierre TASSI,"NA, NA",NA
73,"Histoire du noble et vaillant chevalier Pierre de Provence et de Maguelonne, fille du roy de Naples, dernière édition",1733,Zuric,J.-C. BINCHELDRE,"NA, NA",NA
78,Histoire de Pierre de Provence et de la belle Maguelonne,1738,Troyes,P. GARNIER,"NA, NA",NA
80,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",NA
81,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Pierre SEYER,"NA, NA",NA
82,"L'histoire du vaillant Pierre de Provence et de la belle Maguelonne, fille du roi de Naples, contenant leur chaste amour et mariage",1757,Troyes,la veuve Le Fèvre,"NA, NA",NA
89,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",NA
90,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",NA
121,"Poggiana, contenant les bons mots de Pogge et des hommes illustres de son temps",1789,Amsterdam et Paris,Visse,"Poggio bracciolini, Giovanni Francesco",NA
162,"Histoire de Mélusine, nouvellement imprimée et corrigée",1738,Troyes,Pierre GARNIER,"JEAN D'ARRAS, NA",NA
163,"Histoire de Mélusine, nouvellement imprimée",1738,Troyes,Pierre GARNIER,"JEAN D'ARRAS, NA",NA
221,"Les conquestes du grand Charlemagne, roi de France et d'Espagne, avec les faits héroïques des douze pairs de France et du grand Fierabras et le combat fait par lui contre le petit Olivier qui le vainquit et des trois frères qui firent les neuf épées dont Fierabras en avoit trois pour combattre contre ses ennemis, comme vous verrez ci-après",1738,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",NA
222,"Conquestes du grand Charlemagne, roi de France, avec les faits héroïques",1738,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",NA
223,"Conquetes du grand Charlemagne roi de France avec les faits héroïques des douze pairs de France et du grand Fierabras et le combat fait par lui contre le petit Olivier qui le vainquit et des trois frères qui firent les neuf épées dont Fierabras en avoit trois pour combattre contre ses ennemis, comme vous le verrez ci-après",1750,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",NA
224,"Conqûtes du grand Charlemagne, roi de France [...]",1780,Lille,s.n.,"NA, NA",NA
387,"L'histoire des quatre fils d'Aymon, revüe et corrigée de nouveau et augmentée des figures",1744,Limoges,Jacques FARNE,"NA, NA",NA
388,"L'histoire des quatre fils d'Aymon, revüe et corrigée de nouveau et augmentée des figures",1750,Limoges,Jacques FARNE,"NA, NA",NA
389,"L'histoire des quatre fils d'Aymon, revûe et corrigée de nouveau et augmentée des figures",1763,Avignon,Jacques GARRIGAN,"NA, NA",NA
390,"L'histoire des quatre fils d'Aymon, revûe et corrigée de nouveau et augmentée des figures",1767,Avignon,Jacques GARRIGAN,"NA, NA",NA
391,"Histoire des quatre fils Aymon, très-nobles et très-vaillans chevaliers",1770,Troyes,de l'imprimerie de la citoyenne GARNIER,"NA, NA",NA
392,"L'histoire des quatre fils d'Aymon, revûe, corrigée de nouveau et augmentée",1772,Avignon,Jacques GARRIGAN,"NA, NA",NA
393,L'histoire des quatre fils Aymon,1780,Limoges,s.n.,"NA, NA",NA
394,"L'histoire des quatre fils Aymon, revue, corrigée de nouveau et augmentée",1784,Avignon,Jacques Garrigan,"NA, NA",NA
398,"Histoire des quatre fils d'Aimon, [...] édition revue et corrigée de nouveau",1750,Toulouse,[de l'imprimerie de J.-M. CORNE,"NA, NA",NA
445,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies par manière de joyeuseté, avec d'excellentes figures en taille-douce, gravées sur les desseins du fameux Mr. Romain de Hoog",1701,Cologne,Pierre GAILLARD,"NA, NA",NA
446,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies par manière de joyeuseté",1701,Cologne,Gaillard,"NA, NA",NA
447,Les cent nouvelles nouvelles,1732,Cologne,P. Gaillard,"NA, NA",NA
448,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonne compagnies par manière de joyeuseté",1733,La Haye,"P.GOSSE, J. NEAULME","NA, NA",NA
449,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonne compagnies par manière de joyeuseté",1733,La Haye,"P. GOSSE, J. NEAULME","NA, NA",NA
451,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies par manièere de joyeuseté",1744,Londres,s.n.,"NA, NA",NA
452,"Les cent nouvelles nouvelles suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies, par manière de joyeuseté, nouvelle édition Ornée de cent figures en taille-douce et d'un frontispice",1786,Cologne,Pierre GAILLARD,"NA, NA",NA
