,ID,long_title,date,place,publisher,author_name,book_code,cluster,confidence
0,72.0,"L'histoire du noble et vaillant chevalier Pierre de Provence et de Maguelonne, fille du roy de Naples, où sont amplement déclarées ses proüesses et leurs honnètes amours et mariage",1733,Tarascon,Pierre TASSI,"NA, NA",,,
1,73.0,"Histoire du noble et vaillant chevalier Pierre de Provence et de Maguelonne, fille du roy de Naples, dernière édition",1733,Zuric,J.-C. BINCHELDRE,"NA, NA",,,
2,78.0,Histoire de Pierre de Provence et de la belle Maguelonne,1738,Troyes,P. GARNIER,"NA, NA",,,
3,80.0,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",,985.0,0.7837588588396708
4,81.0,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Pierre SEYER,"NA, NA",,985.0,0.3592701554298401
5,82.0,"L'histoire du vaillant Pierre de Provence et de la belle Maguelonne, fille du roi de Naples, contenant leur chaste amour et mariage",1757,Troyes,la veuve Le Fèvre,"NA, NA",,,
6,89.0,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",,985.0,0.7837588588396708
7,90.0,Histoire de Pierre de Provence et de la belle Maguelonne,1752,Rouen,Behourt,"NA, NA",,985.0,0.7837588588396708
8,121.0,"Poggiana, contenant les bons mots de Pogge et des hommes illustres de son temps",1789,Amsterdam et Paris,Visse,"Poggio bracciolini, Giovanni Francesco",,,
9,162.0,"Histoire de Mélusine, nouvellement imprimée et corrigée",1738,Troyes,Pierre GARNIER,"JEAN D'ARRAS, NA",,986.0,0.7057209312915802
10,163.0,"Histoire de Mélusine, nouvellement imprimée",1738,Troyes,Pierre GARNIER,"JEAN D'ARRAS, NA",,986.0,0.8372175097465515
11,221.0,"Les conquestes du grand Charlemagne, roi de France et d'Espagne, avec les faits héroïques des douze pairs de France et du grand Fierabras et le combat fait par lui contre le petit Olivier qui le vainquit et des trois frères qui firent les neuf épées dont Fierabras en avoit trois pour combattre contre ses ennemis, comme vous verrez ci-après",1738,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",,987.0,0.970539391040802
12,222.0,"Conquestes du grand Charlemagne, roi de France, avec les faits héroïques",1738,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",,987.0,0.970539391040802
13,223.0,"Conquetes du grand Charlemagne roi de France avec les faits héroïques des douze pairs de France et du grand Fierabras et le combat fait par lui contre le petit Olivier qui le vainquit et des trois frères qui firent les neuf épées dont Fierabras en avoit trois pour combattre contre ses ennemis, comme vous le verrez ci-après",1750,Troyes,Jean-Ant. GARNIER,"Baignon, Jean",,,
14,224.0,"Conqûtes du grand Charlemagne, roi de France [...]",1780,Lille,s.n.,"NA, NA",,,
15,387.0,"L'histoire des quatre fils d'Aymon, revüe et corrigée de nouveau et augmentée des figures",1744,Limoges,Jacques FARNE,"NA, NA",,,
16,388.0,"L'histoire des quatre fils d'Aymon, revüe et corrigée de nouveau et augmentée des figures",1750,Limoges,Jacques FARNE,"NA, NA",,,
17,389.0,"L'histoire des quatre fils d'Aymon, revûe et corrigée de nouveau et augmentée des figures",1763,Avignon,Jacques GARRIGAN,"NA, NA",,,
18,390.0,"L'histoire des quatre fils d'Aymon, revûe et corrigée de nouveau et augmentée des figures",1767,Avignon,Jacques GARRIGAN,"NA, NA",,,
19,391.0,"Histoire des quatre fils Aymon, très-nobles et très-vaillans chevaliers",1770,Troyes,de l'imprimerie de la citoyenne GARNIER,"NA, NA",,,
20,392.0,"L'histoire des quatre fils d'Aymon, revûe, corrigée de nouveau et augmentée",1772,Avignon,Jacques GARRIGAN,"NA, NA",,,
21,393.0,L'histoire des quatre fils Aymon,1780,Limoges,s.n.,"NA, NA",,,
22,394.0,"L'histoire des quatre fils Aymon, revue, corrigée de nouveau et augmentée",1784,Avignon,Jacques Garrigan,"NA, NA",,,
23,398.0,"Histoire des quatre fils d'Aimon, [...] édition revue et corrigée de nouveau",1750,Toulouse,[de l'imprimerie de J.-M. CORNE,"NA, NA",,,
24,445.0,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies par manière de joyeuseté, avec d'excellentes figures en taille-douce, gravées sur les desseins du fameux Mr. Romain de Hoog",1701,Cologne,Pierre GAILLARD,"NA, NA",,991.0,0.36716362833976746
25,446.0,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonnes compagnies par manière de joyeuseté",1701,Cologne,Gaillard,"NA, NA",,991.0,0.36716362833976746
26,447.0,Les cent nouvelles nouvelles,1732,Cologne,P. Gaillard,"NA, NA",,,
27,448.0,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonne compagnies par manière de joyeuseté",1733,La Haye,"P.GOSSE, J. NEAULME","NA, NA",,992.0,0.9922174215316772
28,449.0,"Les cent nouvelles nouvelles, suivent les cent nouvelles contenant les cent histoires nouveaux [sic] qui sont moult plaisans à raconter en toutes bonne compagnies par manière de joyeuseté",1733,La Haye,"P. GOSSE, J. NEAULME","NA, NA",,992.0,0.9922174215316772
