agent_1	name_1	title_and_desig_1	notes_1	professions_1	author_of_1	addresses_1	agent_2	name_2	title_and_desig_2	notes_2	professions_2	author_of_2	addresses_2	osa	cos	identical
id002245	Dubois	 / 	Additional documents - 1 'lettre de change' 09/04/1775; 1 'protet' 09/11/1775; 3 'lettres à Moreau' 1778; 1 'lettre à M.L. Meuron' 10/1775; 2 undated 'mémoires'.  See dossier Moreau 02/1778.	pasteur		TONNEINS	id000003	Dubois	 / l'aîné		libraire		AIRE-en-ARTOIS	1	1	
id002528	Dubois	 / 	Officer au régt. de Castilla. Additional document - 1 'reçu' 11/01/1787.	officier			id000003	Dubois	 / l'aîné		libraire		AIRE-en-ARTOIS	1	1	
id009581	David	 / 					id000004	David	 / 				AIX	1	1	
id000027	Muilman	 / fils		commissionnaire			id000026	Muilman	 / 		commissionnaire			1	1	
id001671	Panchaud	 / 		commissionnaire			id000028	Panchaud	 / 		commissionnaire			1	1	
id001057	Gosselin	 / père		négociant			id000034	Gosselin	 / 		libraire			1	1	
id001058	Gosselin	 / fils		négociant			id000034	Gosselin	 / 		libraire			1	1	
id002212	Franck	 / 		négociant			id000057	Franck	 / 		libraire			1	1	
id000901	"Crommelin, Isaac-Matthieu"	 / 		littérateur			id000061	"Crommelin, Isaac-Matthieu"	 / 		littérateur		GUISE	1	1	
id001950	Perron	 / 		commissionnaire			id000070	Perron	 / 		négociant			1	1	
id001951	Perron	 / fils		commissionnaire			id000070	Perron	 / 		négociant			1	1	
id002113	Bouchet	 / 		avocat		SALINS	id000076	Bouchet	 / Vve Louis	Vve Louis.	commissionnaire			1	1	
id000418	"Caris, Antoine"	 / 		libraire		CADIX	id000077	"Caris, Antoine"	 / 		libraire		AVIGNON	1	1	
id000082	Joly	 / fils		négociant			id000081	Joly	 / Vve		négociant			1	1	
id002912	Richard	 / 		maître des postes		LUNÉVILLE	id000084	Richard	 / fils		négociant			1	1	
id001627	Frey	 / 		économiste; pasteur		NYON	id000106	Frey	Capitaine / 		capitaine; lieut. colonel		BALE	1	1	
id002134	Frey	 / 		négociant			id000106	Frey	Capitaine / 		capitaine; lieut. colonel		BALE	1	1	
id000132	Preiswerck	 / fils		commissionnaire			id000129	Preiswerck	 / 		négociant			1	1	
id000176	Robert	 / 		libraire			id000153	Robert	 / 		maire		BAR-le-DUC	1	1	
