id_1,str_1,id_2,str_2,osa,cos,sample_edition_1,sample_edition_2
zspbk0013023,Babillard (le),spbk0000183,Babillard (le),1,1,"Babillard (le), by NA. (, )","Babillard (le), comédie de M. de Boissy, by Boissy, Louis [de]. (n.pl., NA)"
spbk0003798,Contes moraux,spbk0000405,Contes moraux,1,1,"Contes moraux par Marmontel, nouvelle Edition, by Marmontel, Jean-François. (La Haye, 1774)","Contes moraux par M. Le Prince de Beaumont, by Le Prince de Beaumont, Marie. (Lyon, 1774)"
zspbk0012801,Corps (des) politiques et de leurs gouvernements,spbk0000429,Corps (des) politiques et de leurs gouvernements,1,1,"Corps (des) politiques et de leurs gouvernements, by Lavie, Jean Charles de. (Lyon, )","Corps (des) politiques et de leurs gouvernements, by Lavie, Jean Charles [de]. (Lyon, 1767)"
zspbk0012013,Dictionnaire des hommes illustres,spbk0000547,Dictionnaire des hommes illustres,1,1,"Dictionnaire des hommes illustres, by NA. (, )","Dictionnaire des Portraits historiques anecdotes des hommes illustres, by Prezel, Honoré Lacombe [de]. (Paris, 1769)"
zspbk0013528,Dictionnaire des origines,spbk0000548,Dictionnaire des origines,1,1,"Dictionnaire des origines, by NA. (, )","Dictionnaire des origines, ou Époques des inventions utiles, des découvertes importantes, et de l'établissement des peuples, des religions, des sectes, by Origny, Pierre-Adam. (Paris, 1777)"
zspbk0011660,Bibliotheca botanica,spbk0001010,Bibliotheca botanica,1,1,"Bibliotheca botanica, by NA. (, )","Bibliotheca botanica, qua scripta ad rem herbariam facientia a rerum initiis recensentur, auctore Alberto von Haller, by Haller, Albrecht [von]. (Tiguri, 1771-1772)"
zspbk0011740,Histoire de la ville de Rouen,spbk0001117,Histoire de la ville de Rouen,1,1,"Histoire de la ville de Rouen, by NA. (, )","Histoire de la ville de Rouen... depuis sa fondation jusqu'en l'année 1774; suivie d'un essai sur la Normandie littéraire. Par M. S***, by Servin, Antoine-Nicolas. (Rouen, 1775)"
spbk0003595,Histoire romaine,spbk0001181,Histoire romaine,1,1,NA,"Histoire Romaine par Rollin, by Crevier, Jean Baptiste Louis. (Paris, )"
spbk00014976,Histoire secrète des femmes galantes de l'antiquit,spbk0001182,Histoire secrète des femmes galantes de l'antiquit,1,1,"Histoire secrète des femmes galantes de l'antiquité, by NA. (Paris, 1726-1732)","Histoire secrète des femmes galantes de l'antiquité, by Dubois, François-Nicolas. (n.pl., )"
zspbk0012588,Amours (les) de Mirtil,spbk00014830,Amours (les) de Mirtil,1,1,"Amours (les) de Mirtil, by NA. (, )","Amours (les) de Mirtil, by Sacy, Claude-Louis-Michel de. (Constantinople, 1761)"
